seaotter,releasenum,days_since_rel,fix_type,fix_qual,latitude,longitude,,
252,1,8.913888889,b,0.5,36.81209,-121.75332,,
252,1,10.74722222,r,2,36.811764,-121.751379,,
252,1,12,b,0.5,36.812245,-121.753523,,
252,1,14.78541667,r,2,36.811833,-121.750958,,
252,1,17.02083333,v,0.5,36.812507,-121.753266,,
252,1,20.11736111,b,0.5,36.836042,-121.741413,,
269,1,0,b,0.5,36.819463,-121.745614,,
269,1,0.895833333,b,0.5,36.816199,-121.761269,,
269,1,1.986111111,b,0.5,36.816397,-121.768762,,
269,1,2.958333333,b,0.5,36.81329,-121.761215,,
269,1,4.067361111,b,0.5,36.812143,-121.761363,,
269,1,4.996527778,b,0.5,36.811491,-121.77935,,
269,1,5.944444444,b,0.5,36.811957,-121.762282,,
269,1,7.090277778,b,0.5,36.811888,-121.761763,,
269,1,7.909722222,b,0.5,36.813335,-121.757727,,
269,1,9.14375,a,1,36.802443,-121.789509,,
269,1,10.17361111,b,0.5,36.811738,-121.762447,,
269,1,11.98611111,r,1,36.818212,-121.765909,,
269,1,13.03819444,b,0.5,36.810221,-121.7853,,
269,1,16.11875,a,1,36.820786,-121.806847,,
269,1,17.11111111,a,1,36.890081,-121.85158,,
269,1,18.11111111,a,1,36.749834,-121.814068,,
269,1,21.97708333,a,1,36.812345,-121.780852,,
269,1,24.16458333,v,0.5,36.814304,-121.768563,,
269,1,29.94375,b,0.5,36.810543,-121.784869,,
286,1,0,b,0.5,36.81636,-121.74836,,
286,1,1.079861111,b,0.5,36.810158,-121.743243,,
286,1,2.128472222,b,0.5,36.812579,-121.779831,,
286,1,3.003472222,b,0.5,36.814739,-121.77853,,
286,1,4.045138889,b,0.5,36.812249,-121.780688,,
286,1,5.024305556,b,0.5,36.812574,-121.775872,,
286,1,5.96875,b,0.5,36.812973,-121.778698,,
286,1,7.020833333,b,0.5,36.814029,-121.779269,,
286,1,8.107638889,b,0.5,36.811645,-121.782732,,
286,1,8.915972222,b,0.5,36.814767,-121.77854,,
286,1,9.900694444,b,0.5,36.814352,-121.778665,,
286,1,12.10763889,r,1,36.840294,-121.825129,,
286,1,13.12847222,r,2,36.887217,-121.837809,,
286,1,13.95555556,b,0.5,36.807122,-121.790489,,
286,1,14.92291667,b,0.5,36.810258,-121.788342,,
286,1,16.01388889,b,0.5,36.811655,-121.787577,,
286,1,19.89791667,r,2,36.806548,-121.791278,,
286,1,21.84375,r,2,36.803365,-121.78497,,
286,1,26.09791667,r,1,36.802246,-121.785904,,
286,1,28.97291667,r,1,36.804034,-121.784957,,
286,1,29.94791667,r,1,36.81085,-121.786906,,
286,1,30.95,a,1,36.805166,-121.784398,,
315,1,0,b,1,36.816552,-121.746157,,
315,1,1.145833333,a,1,36.750675,-121.862098,,
315,1,1.283333333,a,1,36.755713,-121.932747,,
315,1,1.931944444,a,1,36.750738,-121.930346,,
315,1,2.966666667,a,1,36.712763,-122.018398,,
315,1,3.135416667,b,0.5,36.637074,-121.974897,,
315,2,0,b,0.5,36.816737,-121.745928,,
315,2,0.963888889,b,0.5,36.779129,-121.797896,,
315,2,2.948611111,b,0.5,36.813991,-121.761499,,
315,2,7.021527778,b,0.5,36.798153,-121.794276,,
315,2,9.111111111,b,0.5,36.812423,-121.779141,,
315,2,9.958333333,r,3,36.794352,-121.796178,,
315,2,11.95763889,r,3,36.773732,-121.80079,,
315,2,13.14166667,b,0.5,36.808179,-121.787888,,
327,1,0,b,0.5,36.816429,-121.745698,,
327,1,1.125,b,0.5,36.806318,-121.948081,,
327,2,0,b,0.5,36.817971,-121.745383,,
327,2,1.114583333,b,0.5,36.877766,-121.79031,,
327,2,1.170138889,b,0.5,36.857505,-121.818276,,
327,2,1.958333333,,0.5,36.896186,-121.926279,,
327,2,2.958333333,b,0.5,36.803296,-121.79031,,
327,3,0,b,0.5,36.814766,-121.745352,,
327,3,0.886111111,b,0.5,36.800159,-121.784349,,
327,3,2.131944444,b,0.5,36.877012,-121.894324,,
327,3,2.93125,r,2,36.816214,-121.776437,,
327,3,3.950694444,b,0.5,36.813934,-121.769774,,
327,3,4.00625,b,0.5,36.809818,-121.787253,,
327,3,4.979166667,b,0.5,36.812721,-121.764414,,
327,3,5.871527778,r,1,36.816085,-121.775971,,
327,3,6.15,r,1,36.814442,-121.776024,,
327,3,6.182638889,b,0.5,36.813075,-121.778176,,
327,3,6.854166667,r,1,36.814809,-121.778445,,
327,3,8.975694444,r,1,36.817373,-121.769936,,
327,3,9.84375,b,0.5,36.813145,-121.778794,,
327,3,11.14236111,b,0.5,36.811989,-121.781846,,
327,3,11.95833333,r,2,36.812894,-121.773473,,
327,3,15.90902778,r,2,36.813525,-121.774466,,
327,3,16.92083333,r,2,36.812778,-121.778095,,
327,3,17.99722222,b,0.5,36.813142,-121.765156,,
339,1,0,b,0.5,36.814712,-121.745328,,
339,1,1.215277778,b,0.5,36.821194,-121.751686,,
339,1,2.152777778,b,0.5,36.821197,-121.751749,,
339,2,0,b,0.5,36.816134,-121.745558,,
339,2,1.03125,b,0.5,36.813279,-121.745219,,
