"","seaotter","FoodType","prop_foodtype_otter_sum","percentlive"
"1","209","Live",0.595525207031817,59.5525207031817
"2","217","Live",0.760830222825472,76.0830222825472
"3","225","Live",0.75,75
"4","228","Live",0.830164541365263,83.0164541365263
"5","238","Live",0.460626231944938,46.0626231944938
"6","249","Live",0.534765005459429,53.4765005459429
"7","252","Live",0.646843043629731,64.6843043629731
"8","269","Live",0.606230704462532,60.6230704462532
"9","286","Live",0.423959871473684,42.3959871473684
"10","315","Live",0.309737806984561,30.9737806984561
"11","327","Live",0.55746272636543,55.746272636543
"12","339","Live",0.215207673095893,21.5207673095893
"13","344","Live",0.263521932561488,26.3521932561488
"14","353","Live",0.289241272550459,28.9241272550459
"15","379","Live",0.497675107359692,49.7675107359692
"16","386","Live",0.609140482134112,60.9140482134112
"17","433","Live",0.321291306219197,32.1291306219197
"18","451","Live",0.440019529193272,44.0019529193272
"19","457","Live",0.56797865908495,56.797865908495
"20","466","Live",0.499391105265722,49.9391105265722
"21","473","Live",0.498594046514205,49.8594046514205
"22","475","Live",0.460784211649687,46.0784211649687
"23","501","Live",0.425989198721481,42.5989198721481
"24","518","Live",0.363223111806213,36.3223111806213
"25","520","Live",0.429366159673315,42.9366159673315
"26","526","Live",0.434248512434286,43.4248512434286
"27","558","Live",0.589106284058655,58.9106284058655
"28","587","Live",0.526142007605181,52.6142007605181
"29","595","Live",0.384391515239267,38.4391515239267
"30","621","Live",0.27302648308933,27.302648308933
"31","623","Live",0.346387874764908,34.6387874764908
"32","653","Live",0.451211544586637,45.1211544586637
"33","657","Live",0.510916679237693,51.0916679237693
"34","671","Live",0.483853395221523,48.3853395221523
"35","673","Live",0.336337494405881,33.6337494405881
"36","685","Live",0.408143423160143,40.8143423160143
"37","687","Live",0.501639484711124,50.1639484711123
"38","716","Live",0.644564749261422,64.4564749261422
"39","723","Live",0.523716563490655,52.3716563490655
"40","774","Live",0.516819881477882,51.6819881477882
"41","808","Live",0.503055218095569,50.3055218095569
"42","809","Live",0.50257008081613,50.257008081613
