"","seaotter","dist4","est_cauchy"
"1","209",3,0.180603185361285
"2","209",10,0.00904583246131519
"3","209",5,0.0606940058587459
"4","209",1,0.101531244444863
"5","209",0,0.0564190652808367
"6","209",1,0.101531244444863
"7","209",18,0.00217708400439871
"8","209",5,0.0606940058587459
"9","209",20,0.00171041435391198
"10","209",21,0.00153131218020475
"11","209",3,0.180603185361285
"12","209",1,0.101531244444863
"13","209",1,0.101531244444863
"14","209",3,0.180603185361285
"15","209",3,0.180603185361285
"16","209",3,0.180603185361285
"17","209",0,0.0564190652808367
"18","209",3,0.180603185361285
"19","217",1,0.178397959150866
"20","217",1,0.178397959150866
"21","217",1,0.178397959150866
"22","217",0,0.0796198274928127
"23","217",18,0.00146119476551949
"24","217",3,0.136534010895482
"25","217",20,0.00115848186193194
"26","217",1,0.178397959150866
"27","217",2,0.259048730038289
"28","217",1,0.178397959150866
"29","217",4,0.0625110964469067
"30","217",4,0.0625110964469067
"31","217",3,0.136534010895482
"32","217",2,0.259048730038289
"33","217",0,0.0796198274928127
"34","217",3,0.136534010895482
"35","217",3,0.136534010895482
"36","225",2,0.0270278338495523
"37","225",3,0.0318826761066166
"38","225",26,0.00525163775918609
"39","225",46,0.00128468292437837
"40","225",30,0.00364233244286685
"41","225",2,0.0270278338495523
"42","225",8,0.0529605171769343
"43","225",15,0.022061435085643
"44","225",16,0.0187655888474255
"45","225",22,0.00812899150056041
"46","225",15,0.022061435085643
"47","225",3,0.0318826761066166
"48","225",6,0.0482209041772621
"49","225",8,0.0529605171769343
"50","225",9,0.0512224529367726
"51","225",0,0.019453741355998
"52","228",53,0.000264134378101409
"53","228",6,0.056736613895981
"54","228",7,0.0364633885453134
"55","228",7,0.0364633885453134
"56","228",3,0.151830253037577
"57","228",0,0.0433155465287656
"58","228",3,0.151830253037577
"59","228",3,0.151830253037577
"60","228",1,0.0688398611995817
"61","238",1,0.033262092195055
"62","238",1,0.033262092195055
"63","238",1,0.033262092195055
"64","238",1,0.033262092195055
"65","238",25,5.27720894232038e-05
"66","238",0,3.04595485425476
"67","238",1,0.033262092195055
"68","238",1,0.033262092195055
"69","238",2,0.00829973208741643
"70","238",1,0.033262092195055
"71","238",1,0.033262092195055
"72","238",1,0.033262092195055
"73","238",1,0.033262092195055
"74","238",0,3.04595485425476
"75","238",0,3.04595485425476
"76","238",0,3.04595485425476
"77","238",0,3.04595485425476
"78","238",0,3.04595485425476
"79","238",0,3.04595485425476
"80","238",0,3.04595485425476
"81","238",0,3.04595485425476
"82","238",0,3.04595485425476
"83","238",0,3.04595485425476
"84","238",0,3.04595485425476
"85","252",2,0.0028945142980674
"86","252",4,0.000720183135190006
"87","252",3,0.00128238587982196
"88","252",0,8.2041686147654
"89","252",0,8.2041686147654
"90","252",2,0.0028945142980674
"91","252",2,0.0028945142980674
"92","252",0,8.2041686147654
"93","252",0,8.2041686147654
"94","252",0,8.2041686147654
"95","252",0,8.2041686147654
"96","252",0,8.2041686147654
"97","252",3,0.00128238587982196
"98","269",1,0.374746416595613
"99","269",1,0.374746416595613
"100","269",1,0.374746416595613
"101","269",0,0.118217806190533
"102","269",2,0.205069320966429
"103","269",1,0.374746416595613
"104","269",1,0.374746416595613
"105","269",0,0.118217806190533
"106","269",3,0.0663009127666378
"107","269",2,0.205069320966429
"108","269",2,0.205069320966429
"109","269",3,0.0663009127666378
"110","269",4,0.0300412909852229
"111","269",9,0.00409353458283763
"112","269",16,0.00114204594624668
"113","269",9,0.00409353458283763
"114","269",1,0.374746416595613
"115","269",1,0.374746416595613
"116","286",1,1.13513590397238
"117","286",4,0.00970112007778424
"118","286",1,1.13513590397238
"119","286",1,1.13513590397238
"120","286",1,1.13513590397238
"121","286",1,1.13513590397238
"122","286",0,0.0849769898916471
"123","286",0,0.0849769898916471
"124","286",1,1.13513590397238
"125","286",1,1.13513590397238
"126","286",5,0.00549145483580971
"127","286",6,0.00352611642525081
"128","286",11,0.00088634010735124
"129","286",1,1.13513590397238
"130","286",0,0.0849769898916471
"131","286",1,1.13513590397238
"132","286",1,1.13513590397238
"133","286",0,0.0849769898916471
"134","286",0,0.0849769898916471
"135","286",2,0.0801872958982879
"136","286",2,0.0801872958982879
"137","315",2,0.0609317539287119
"138","315",13,0.00571882962974946
"139","315",6,0.0923896353956406
"140","315",0,0.0216010208445276
"141","315",9,0.0185057943252508
"142","315",9,0.0185057943252508
"143","315",6,0.0923896353956406
"144","315",5,0.183530741917906
"145","315",4,0.217943611126329
