"","seaotter","long","lat"
"1","209",-121.924233502538,36.6297841191067
"2","209",-121.932556345178,36.6381086848635
"3","209",-121.940879187817,36.6381086848635
"4","209",-121.940879187817,36.6381086848635
"5","209",-121.924233502538,36.6464332506203
"6","209",-121.907587817259,36.6547578163772
"7","209",-121.89094213198,36.663082382134
"8","209",-121.88261928934,36.663082382134
"9","209",-121.874296446701,36.663082382134
"10","209",-121.865973604061,36.663082382134
"11","209",-121.857650761421,36.663082382134
"12","209",-121.849327918782,36.663082382134
"13","209",-121.841005076142,36.663082382134
"14","209",-121.832682233503,36.663082382134
"15","209",-121.832682233503,36.663082382134
"16","209",-121.832682233503,36.6714069478908
"17","209",-121.824359390863,36.6880560794045
"18","209",-121.816036548223,36.7047052109181
"19","209",-121.816036548223,36.7047052109181
"20","209",-121.816036548223,36.6963806451613
"21","209",-121.816036548223,36.6963806451613
"22","209",-121.816036548223,36.6963806451613
"23","209",-121.824359390863,36.6880560794045
"24","209",-121.824359390863,36.6880560794045
"25","209",-121.824359390863,36.6963806451613
"26","209",-121.824359390863,36.7047052109181
"27","209",-121.824359390863,36.7130297766749
"28","209",-121.824359390863,36.7213543424318
"29","209",-121.824359390863,36.7296789081886
"30","209",-121.824359390863,36.7380034739454
"31","209",-121.824359390863,36.7463280397022
"32","209",-121.824359390863,36.7546526054591
"33","209",-121.824359390863,36.7629771712159
"34","209",-121.824359390863,36.7713017369727
"35","209",-121.824359390863,36.7796263027295
"36","209",-121.824359390863,36.7879508684864
"37","209",-121.824359390863,36.7962754342432
"38","209",-121.824359390863,36.8046
"39","209",-121.824359390863,36.8129245657568
"40","209",-121.824359390863,36.8212491315136
"41","209",-121.824359390863,36.8295736972705
"42","209",-121.816036548223,36.8462228287841
"43","209",-121.816036548223,36.8462228287841
"44","209",-121.824359390863,36.8628719602978
"45","209",-121.832682233503,36.8795210918114
"46","209",-121.841005076142,36.8878456575682
"47","209",-121.841005076142,36.8878456575682
"48","209",-121.832682233503,36.8711965260546
"49","209",-121.824359390863,36.8545473945409
"50","209",-121.816036548223,36.8378982630273
"51","209",-121.816036548223,36.8295736972705
"52","209",-121.816036548223,36.8212491315136
"53","209",-121.816036548223,36.8129245657568
"54","209",-121.816036548223,36.8046
"55","209",-121.816036548223,36.7962754342432
"56","209",-121.816036548223,36.7879508684864
"57","209",-121.816036548223,36.7796263027295
"58","209",-121.816036548223,36.7713017369727
"59","209",-121.816036548223,36.7629771712159
"60","209",-121.816036548223,36.7546526054591
"61","209",-121.816036548223,36.7463280397022
"62","209",-121.816036548223,36.7380034739454
"63","209",-121.816036548223,36.7296789081886
"64","209",-121.807713705584,36.7130297766749
"65","209",-121.807713705584,36.7130297766749
"66","209",-121.816036548223,36.7296789081886
"67","209",-121.816036548223,36.7380034739454
"68","209",-121.816036548223,36.7463280397022
"69","209",-121.816036548223,36.7546526054591
"70","209",-121.816036548223,36.7629771712159
"71","209",-121.816036548223,36.7713017369727
"72","209",-121.816036548223,36.7796263027295
"73","209",-121.816036548223,36.7879508684864
"74","209",-121.816036548223,36.7962754342432
"75","209",-121.816036548223,36.8046
"76","209",-121.816036548223,36.8129245657568
"77","209",-121.816036548223,36.8212491315136
"78","209",-121.816036548223,36.8295736972705
"79","209",-121.816036548223,36.8378982630273
"80","209",-121.816036548223,36.8462228287841
"81","209",-121.824359390863,36.8628719602978
"82","209",-121.832682233503,36.8795210918114
"83","209",-121.832682233503,36.8878456575682
"84","209",-121.832682233503,36.8878456575682
"85","209",-121.841005076142,36.8878456575682
"86","209",-121.849327918782,36.9044947890819
"87","209",-121.849327918782,36.9044947890819
"88","209",-121.857650761421,36.9128193548387
"89","209",-121.857650761421,36.9128193548387
"90","209",-121.849327918782,36.9044947890819
"91","209",-121.849327918782,36.9044947890819
"92","209",-121.857650761421,36.9044947890819
"93","209",-121.865973604061,36.9044947890819
"94","209",-121.874296446701,36.9044947890819
"95","209",-121.88261928934,36.9044947890819
"96","209",-121.88261928934,36.9044947890819
"97","209",-121.874296446701,36.9044947890819
"98","209",-121.865973604061,36.9044947890819
"99","209",-121.849327918782,36.8961702233251
"100","209",-121.849327918782,36.8961702233251
"101","209",-121.857650761421,36.8961702233251
"102","209",-121.865973604061,36.8961702233251
"103","209",-121.88261928934,36.8878456575682
"104","209",-121.88261928934,36.8878456575682
"105","209",-121.88261928934,36.8878456575682
"106","209",-121.88261928934,36.8961702233251
"107","209",-121.874296446701,36.9128193548387
"108","217",-121.766099492386,36.8129245657568
"109","217",-121.774422335025,36.8129245657568
"110","217",-121.782745177665,36.8129245657568
"111","217",-121.782745177665,36.8129245657568
"112","217",-121.774422335025,36.8129245657568
"113","217",-121.766099492386,36.8129245657568
"114","217",-121.766099492386,36.8129245657568
"115","217",-121.774422335025,36.8129245657568
"116","217",-121.782745177665,36.8129245657568
"117","217",-121.782745177665,36.8129245657568
"118","217",-121.782745177665,36.8129245657568
"119","217",-121.791068020305,36.8212491315136
"120","217",-121.799390862944,36.8378982630273
"121","217",-121.807713705584,36.8545473945409
"122","217",-121.816036548223,36.8628719602978
"123","217",-121.824359390863,36.8711965260546
"124","217",-121.832682233503,36.8795210918114
"125","217",-121.841005076142,36.8878456575682
"126","217",-121.849327918782,36.9044947890819
"127","217",-121.857650761421,36.9128193548387
"128","217",-121.865973604061,36.9211439205955
"129","217",-121.874296446701,36.9294684863524
"130","217",-121.88261928934,36.9377930521092
"131","217",-121.89094213198,36.946117617866
"132","217",-121.89094213198,36.946117617866
"133","217",-121.907587817259,36.9544421836228
