"","seaotter","Date","FoodType","Amount_offered_kg","Amount_offered_kg_num","DateTime_real","year","month","Date_real"
"49",653,2014-08-28 13:00:00,"Supplemental",0.31,0.31,2014-08-28 13:00:00,2014,8,2014-08-28
"50",653,2014-08-28 13:00:09,"Supplemental",0.775,0.775,2014-08-28 13:00:09,2014,8,2014-08-28
"51",653,2014-08-28 13:00:09,"Supplemental",0.31,0.31,2014-08-28 13:00:09,2014,8,2014-08-28
"52",653,2014-08-28 14:50:01,"Live",0.682,0.682,2014-08-28 14:50:01,2014,8,2014-08-28
"53",653,2014-08-28 14:50:01,"Live",0.558,0.558,2014-08-28 14:50:01,2014,8,2014-08-28
"54",653,2014-08-28 15:00:00,"Live",0.558,0.558,2014-08-28 15:00:00,2014,8,2014-08-28
"55",653,2014-08-28 15:00:00,"Live",0.682,0.682,2014-08-28 15:00:00,2014,8,2014-08-28
"56",653,2014-08-28 17:00:00,"Supplemental",0.388,0.388,2014-08-28 17:00:00,2014,8,2014-08-28
"57",653,2014-08-28 17:00:00,"Supplemental",0.388,0.388,2014-08-28 17:00:00,2014,8,2014-08-28
"58",653,2014-08-28 17:00:17,"Supplemental",0.388,0.388,2014-08-28 17:00:17,2014,8,2014-08-28
"59",653,2014-08-28 17:00:17,"Supplemental",0.388,0.388,2014-08-28 17:00:17,2014,8,2014-08-28
"60",653,2014-08-28 21:00:00,"Supplemental",0.558,0.558,2014-08-28 21:00:00,2014,8,2014-08-28
"61",653,2014-08-28 21:00:00,"Supplemental",0.372,0.372,2014-08-28 21:00:00,2014,8,2014-08-28
"62",653,2014-08-28 21:00:00,"Live",1.023,1.023,2014-08-28 21:00:00,2014,8,2014-08-28
"63",653,2014-08-28 21:00:17,"Supplemental",0.372,0.372,2014-08-28 21:00:17,2014,8,2014-08-28
"64",653,2014-08-28 21:00:17,"Supplemental",0.558,0.558,2014-08-28 21:00:17,2014,8,2014-08-28
"65",653,2014-08-28 21:00:17,"Live",1.023,1.023,2014-08-28 21:00:17,2014,8,2014-08-28
"66",653,2014-08-29 09:15:00,"Supplemental",0.527,0.527,2014-08-29 09:15:00,2014,8,2014-08-29
"67",653,2014-08-29 09:15:00,"Live",0.558,0.558,2014-08-29 09:15:00,2014,8,2014-08-29
"68",653,2014-08-29 09:15:45,"Live",0.558,0.558,2014-08-29 09:15:45,2014,8,2014-08-29
"69",653,2014-08-29 09:15:45,"Supplemental",0.527,0.527,2014-08-29 09:15:45,2014,8,2014-08-29
"70",653,2014-08-29 13:10:00,"Supplemental",0.465,0.465,2014-08-29 13:10:00,2014,8,2014-08-29
"71",653,2014-08-29 13:10:00,"Supplemental",0.62,0.62,2014-08-29 13:10:00,2014,8,2014-08-29
"72",653,2014-08-29 13:10:43,"Supplemental",0.62,0.62,2014-08-29 13:10:43,2014,8,2014-08-29
"73",653,2014-08-29 13:10:43,"Supplemental",0.465,0.465,2014-08-29 13:10:43,2014,8,2014-08-29
"74",653,2014-08-29 16:40:00,"Supplemental",0.62,0.62,2014-08-29 16:40:00,2014,8,2014-08-29
