YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 03 06 302  5.2  6.5  3.11 14.29  9.16 276 1020.5  11.4  11.8  11.3 99.0 99.00
2002 01 03 07 316  5.6  7.1  3.70 12.50  9.73 273 1020.7  11.2  11.8  11.0 99.0 99.00
2002 01 03 08 316  5.8  7.2  3.70 12.50  9.61 263 1021.0  11.9  11.7  10.6 99.0 99.00
2002 01 03 09 324  5.4  6.7  3.91 12.50  9.90 272 1021.4  11.9  11.7  11.2 99.0 99.00
2002 01 03 10 325  5.3  6.7  3.59 11.11  9.28 266 1022.0  11.9  11.7  10.5 99.0 99.00
2002 01 03 11 336  4.9  6.0  3.41 12.50  9.13 270 1022.6  12.0  11.7  10.7 99.0 99.00
2002 01 03 12 344  4.6  5.6  3.59 12.50  9.56 261 1022.2  11.8  11.7  10.5 99.0 99.00
2002 01 03 13 347  3.7  4.8  3.48 12.50  9.34 270 1022.4  11.8  11.7  10.4 99.0 99.00
2002 01 03 14 325  4.4  5.9  3.05 12.50  8.98 262 1023.1  11.8  11.7  10.0 99.0 99.00
2002 01 03 15 318  4.1  5.2  2.74 12.50  8.89 264 1023.4  11.8  11.7  10.5 99.0 99.00
2002 01 03 16 333  3.8  4.6  3.13 12.50  9.13 258 1023.9  11.8  11.7  10.3 99.0 99.00
2002 01 03 17 333  4.6  5.6  3.06 12.50  9.23 260 1024.3  11.8  11.8   9.5 99.0 99.00
2002 01 03 18 316  3.8  4.8  3.03 12.50  9.35 264 1025.2  11.8  11.8   9.8 99.0 99.00
2002 01 03 19 311  3.9  4.8  2.97 12.50  9.36 259 1025.3  11.8  11.8  10.1 99.0 99.00
2002 01 03 20 331  6.3  7.4  2.91 12.50  9.53 264 1025.1  11.3  11.8  10.2 99.0 99.00
2002 01 03 21 320  6.2  7.7  3.14 12.50  9.03 269 1024.4  11.9  11.8  10.0 99.0 99.00
2002 01 03 22 307  7.0  8.6  3.06 11.11  8.97 271 1024.6  11.9  11.8   9.9 99.0 99.00
2002 01 03 23 322  7.2  8.5  3.16 12.50  9.16 269 1024.4  12.0  11.8  10.0 99.0 99.00
2002 01 04 00 325  7.9  9.2  3.17 12.50  8.77 277 1024.4  11.4  11.8  10.1 99.0 99.00
2002 01 04 01 316  7.9  9.5  2.76 12.50  8.03 276 1025.0  11.3  11.8   9.8 99.0 99.00
2002 01 04 02 315  8.3  9.6  3.02 12.50  8.74 275 1025.0  11.7  11.8  10.2 99.0 99.00
2002 01 04 03 316  7.8  9.9  3.38 12.50  8.76 278 1025.4  11.9  11.8   9.6 99.0 99.00
2002 01 04 04 331  6.8  7.8  2.90 12.50  8.50 266 1025.2  11.9  11.8   9.6 99.0 99.00
2002 01 04 05 326  6.4  7.9  2.90 12.50  8.75 278 1025.8  11.9  11.8   9.8 99.0 99.00
2002 01 04 06 329  6.2  7.5  2.80 12.50  8.51 271 1025.8  11.9  11.8  10.2 99.0 99.00
2002 01 04 07 353  5.0  6.0  3.00 12.50  8.88 274 1025.4  11.8  11.8  10.4 99.0 99.00
2002 01 04 08  13  2.5  3.4  2.61 12.50  8.48 278 1025.1  11.5  11.8  10.3 99.0 99.00
2002 01 04 09 350  2.0  2.8  2.74 12.50  8.67 271 1024.8  11.4  11.8   9.9 99.0 99.00
2002 01 04 10  45  2.5  3.8  2.48 12.50  8.75 270 1024.2  11.3  11.8   9.1 99.0 99.00
2002 01 04 11 341  0.6  1.1  2.19 12.50  8.35 272 1024.3  11.1  11.8   8.1 99.0 99.00
2002 01 04 12  52  3.7  5.2  2.54 12.50  8.80 267 1023.6  11.3  11.8   8.7 99.0 99.00
2002 01 04 13  30  4.7  5.7  2.24 12.50  8.15 270 1023.2  11.5  11.8   8.8 99.0 99.00
2002 01 04 14  56  4.9  6.8  2.27 12.50  7.94 267 1023.8  11.4  11.8   7.5 99.0 99.00
2002 01 04 15  55  5.7  7.4  2.30 12.50  8.13 270 1024.3  11.1  11.8   8.0 99.0 99.00
2002 01 04 16  58  6.4  7.8  2.14 12.50  7.67 266 1024.3  10.8  11.8   7.8 99.0 99.00
