YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 06 320  9.1 11.1  2.39 10.00  7.20 291 1018.4  10.6  12.9 999.0 99.0 99.00
2004 01 03 07 313  8.6 10.6  2.55 12.50  7.21 296 1018.9  10.6  12.9 999.0 99.0 99.00
2004 01 03 08 316  9.1 11.2  2.31 11.11  6.59 296 1018.9  10.4  12.9 999.0 99.0 99.00
2004 01 03 09 316  9.3 11.7  2.68 12.50  7.18 294 1019.0  10.4  12.9 999.0 99.0 99.00
2004 01 03 10 325  7.9  9.7  2.58 12.50  6.78 304 1019.6  10.2  12.9 999.0 99.0 99.00
2004 01 03 11 343  7.1 10.0  2.66 12.50  7.02 306 1019.8  10.2  12.8 999.0 99.0 99.00
2004 01 03 12 334  9.0 11.9  2.78 12.50  7.19 296 1019.6  10.2  12.8 999.0 99.0 99.00
2004 01 03 13 329  8.1 10.5  2.57 11.11  6.97 304 1019.7   9.8  12.8 999.0 99.0 99.00
2004 01 03 14 322  9.1 11.6  2.65 12.50  7.43 297 1020.4   9.5  12.8 999.0 99.0 99.00
2004 01 03 15 348  6.3  8.0  2.61 12.50  7.61 298 1021.0   9.5  12.8 999.0 99.0 99.00
2004 01 03 16 337  7.4  9.7  2.51 11.11  7.38 295 1021.9   9.4  12.8 999.0 99.0 99.00
2004 01 03 17   4  5.7  6.8  2.66 12.50  7.82 300 1023.2   9.1  12.8 999.0 99.0 99.00
2004 01 03 18 353  4.7  6.4  2.59 11.11  7.46 296 1024.5   8.6  12.8 999.0 99.0 99.00
2004 01 03 19 342  6.0  7.6  2.44 12.50  7.29 298 1024.6   9.5  12.8 999.0 99.0 99.00
2004 01 03 20 325  7.8  9.5  2.39 11.11  7.41 296 1024.2  10.1  12.8 999.0 99.0 99.00
2004 01 03 21 336  8.2 10.1  2.68 11.11  7.47 298 1024.0  10.1  12.8 999.0 99.0 99.00
2004 01 03 22 338  8.0 11.3  2.32 12.50  6.88 302 1024.1  10.1  12.8 999.0 99.0 99.00
2004 01 03 23 333  8.4 10.3  2.34 12.50  6.75 305 1024.0  10.2  12.8 999.0 99.0 99.00
2004 01 04 00 326  8.4 10.7  2.19 12.50  6.50 312 1024.0  10.2  12.8 999.0 99.0 99.00
2004 01 04 01 329  8.6 10.3  2.06 12.50  6.67 301 1024.2  10.2  12.8 999.0 99.0 99.00
2004 01 04 02 336  7.8  9.2  2.16 12.50  6.57 308 1024.3  10.2  12.8 999.0 99.0 99.00
2004 01 04 03 338  7.3  8.7  2.02 12.50  6.48 302 1025.2  10.2  12.8 999.0 99.0 99.00
2004 01 04 04 332  8.0  9.4  2.07 12.50  6.77 303 1025.3  10.2  12.8 999.0 99.0 99.00
2004 01 04 05 344  7.0  8.7  2.02 12.50  6.71 305 1025.6  10.0  12.8 999.0 99.0 99.00
2004 01 04 06 343  6.7  8.6  2.15 12.50  7.02 303 1025.8   9.9  12.8 999.0 99.0 99.00
2004 01 04 07 348  6.8  8.9  1.97 11.11  6.86 300 1025.8   9.8  12.8 999.0 99.0 99.00
2004 01 04 08   5  6.4  7.6  1.90 11.11  6.86 303 1025.7   9.8  12.8 999.0 99.0 99.00
2004 01 04 09 357  6.1  8.1  1.93 11.11  6.92 308 1025.2   9.7  12.8 999.0 99.0 99.00
