#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00 300  5.1 99.0 99.00 99.00 99.00 999 1021.0  10.4  11.7 999.0 99.0 99.00
2007 01 03 04 00 310  3.1 99.0 99.00 99.00 99.00 999 1021.3  10.4  11.7 999.0 99.0 99.00
2007 01 03 05 00 300  4.6 99.0 99.00 99.00 99.00 999 1021.2  10.5  11.7 999.0 99.0 99.00
2007 01 03 06 00 320  4.1 99.0 99.00 99.00 99.00 999 1021.1  10.3  11.7 999.0 99.0 99.00
2007 01 03 07 00 300  4.6 99.0 99.00 99.00 99.00 999 1021.4  10.3  11.7 999.0 99.0 99.00
2007 01 03 08 00 310  4.6 99.0 99.00 99.00 99.00 999 1020.9  10.1  11.7 999.0 99.0 99.00
2007 01 03 09 00 300  4.6 99.0 99.00 99.00 99.00 999 1020.8   9.9  11.7 999.0 99.0 99.00
2007 01 03 10 00 310  4.1 99.0 99.00 99.00 99.00 999 1021.2   9.9  11.7 999.0 99.0 99.00
2007 01 03 11 00  50  1.0 99.0 99.00 99.00 99.00 999 1021.6   8.4  11.7 999.0 99.0 99.00
2007 01 03 12 00  10  1.0 99.0 99.00 99.00 99.00 999 1021.3   8.2  11.7 999.0 99.0 99.00
2007 01 03 13 00 300  4.1 99.0 99.00 99.00 99.00 999 1021.4   8.8  11.8 999.0 99.0 99.00
2007 01 03 14 00 340  3.1 99.0 99.00 99.00 99.00 999 1021.4   8.3  11.8 999.0 99.0 99.00
2007 01 03 15 00  30  2.1 99.0 99.00 99.00 99.00 999 1022.1   7.5  11.8 999.0 99.0 99.00
2007 01 03 16 00  30  2.1 99.0 99.00 99.00 99.00 999 1022.3   7.2  11.9 999.0 99.0 99.00
2007 01 03 17 00  60  2.1 99.0 99.00 99.00 99.00 999 1022.7   6.9  11.9 999.0 99.0 99.00
2007 01 03 18 00  80  1.5 99.0 99.00 99.00 99.00 999 1023.5   6.8  11.9 999.0 99.0 99.00
2007 01 03 19 00  80  2.6 99.0 99.00 99.00 99.00 999 1023.4   7.2  11.9 999.0 99.0 99.00
2007 01 03 20 00  70  0.5 99.0 99.00 99.00 99.00 999 1022.3   7.6  12.0 999.0 99.0 99.00
2007 01 03 21 00 270  2.6 99.0 99.00 99.00 99.00 999 1021.7   8.3  12.2 999.0 99.0 99.00
2007 01 03 22 00 280  3.6 99.0 99.00 99.00 99.00 999 1021.6   9.4  12.2 999.0 99.0 99.00
2007 01 03 23 00 280  4.6 99.0 99.00 99.00 99.00 999 1021.3  10.6  12.2 999.0 99.0 99.00
2007 01 04 00 00 280  1.0 99.0 99.00 99.00 99.00 999 1021.7  11.4  12.2 999.0 99.0 99.00
2007 01 04 01 00 170  1.5 99.0 99.00 99.00 99.00 999 1021.8  11.2  12.3 999.0 99.0 99.00
2007 01 04 03 00   0  0.0 99.0 99.00 99.00 99.00 999 1022.0  11.3  12.2 999.0 99.0 99.00
2007 01 04 04 00   0  0.0 99.0 99.00 99.00 99.00 999 1022.1  11.1  12.2 999.0 99.0 99.00
2007 01 04 05 00 190  0.5 99.0 99.00 99.00 99.00 999 1022.2  11.0  12.2 999.0 99.0 99.00
2007 01 04 06 00 200  0.5 99.0 99.00 99.00 99.00 999 1022.0  10.9  12.2 999.0 99.0 99.00
2007 01 04 07 00   0  0.0 99.0 99.00 99.00 99.00 999 1021.9  11.0  12.3 999.0 99.0 99.00
2007 01 04 08 00 130  1.5 99.0 99.00 99.00 99.00 999 1021.6  10.9  12.4 999.0 99.0 99.00
2007 01 04 09 00 150  1.0 99.0 99.00 99.00 99.00 999 1021.3  10.9  12.2 999.0 99.0 99.00
2007 01 04 10 00 170  2.6 99.0 99.00 99.00 99.00 999 1021.4  10.8  12.2 999.0 99.0 99.00
2007 01 04 11 00 170  3.1 99.0 99.00 99.00 99.00 999 1021.4  10.8  12.2 999.0 99.0 99.00
2007 01 04 14 00 220  2.1 99.0 99.00 99.00 99.00 999 1020.5  11.0  12.0 999.0 99.0 99.00
2007 01 04 15 00 230  3.1 99.0 99.00 99.00 99.00 999 1020.5  11.0  11.9 999.0 99.0 99.00
2007 01 04 16 00 300  9.3 99.0 99.00 99.00 99.00 999 1019.8  10.3  11.8 999.0 99.0 99.00
2007 01 04 19 00 300  8.8 99.0 99.00 99.00 99.00 999 1021.4   9.9  11.9 999.0 99.0 99.00
2007 01 04 20 00 310 12.9 99.0 99.00 99.00 99.00 999 1021.1   9.7  11.9 999.0 99.0 99.00
2007 01 04 21 00 310  7.7 99.0 99.00 99.00 99.00 999 1020.9  10.2  11.9 999.0 99.0 99.00
2007 01 04 22 00 290  9.3 99.0 99.00 99.00 99.00 999 1020.9  10.3  11.9 999.0 99.0 99.00
2007 01 04 23 00 300 10.8 99.0 99.00 99.00 99.00 999 1021.0  10.1  11.8 999.0 99.0 99.00
2007 01 05 00 00 300 13.4 99.0 99.00 99.00 99.00 999 1021.3   9.7  11.8 999.0 99.0 99.00
2007 01 05 01 00 300 12.9 99.0 99.00 99.00 99.00 999 1021.7   9.4  11.8 999.0 99.0 99.00
2007 01 05 02 00 310 12.4 99.0 99.00 99.00 99.00 999 1022.5   9.4  11.7 999.0 99.0 99.00
2007 01 05 03 00 300 13.4 99.0 99.00 99.00 99.00 999 1022.2   9.2  11.7 999.0 99.0 99.00
2007 01 05 04 00 300 13.9 99.0 99.00 99.00 99.00 999 1022.2   9.1  11.7 999.0 99.0 99.00
2007 01 05 05 00 320 13.9 99.0 99.00 99.00 99.00 999 1023.3   8.8  11.7 999.0 99.0 99.00
