YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 06 20 00 290 10.3 99.0 99.00 99.00 99.00 999 1012.8  11.5  13.7 999.0 99.0 99.00
2005 02 07 20 00 290 12.4 99.0 99.00 99.00 99.00 999 1014.2  11.0  13.5 999.0 99.0 99.00
2005 02 08 20 00 290  8.2 99.0 99.00 99.00 99.00 999 1017.1  10.6  13.5 999.0 99.0 99.00
2005 02 09 20 00 240  1.5 99.0 99.00 99.00 99.00 999 1018.6  11.1  13.9 999.0 99.0 99.00
2005 02 10 20 00 290  6.7 99.0 99.00 99.00 99.00 999 1017.2  11.8  13.4 999.0 99.0 99.00
2005 02 11 20 00  30  3.6 99.0 99.00 99.00 99.00 999 1012.2  15.1  13.6 999.0 99.0 99.00
2005 02 11 21 00  50  3.6 99.0 99.00 99.00 99.00 999 1008.8  12.7  13.3 999.0 99.0 99.00
2005 02 11 22 00  90  2.1 99.0 99.00 99.00 99.00 999 1008.5  12.4  13.4 999.0 99.0 99.00
2005 02 11 23 00  60  3.1 99.0 99.00 99.00 99.00 999 1008.5  12.4  13.4 999.0 99.0 99.00
2005 02 12 00 00  60  2.1 99.0 99.00 99.00 99.00 999 1008.4  12.0  13.4 999.0 99.0 99.00
2005 02 12 01 00  60  2.1 99.0 99.00 99.00 99.00 999 1008.7  12.0  13.3 999.0 99.0 99.00
2005 02 12 02 00 360  1.0 99.0 99.00 99.00 99.00 999 1008.8  11.8  13.3 999.0 99.0 99.00
2005 02 12 03 00 330  1.5 99.0 99.00 99.00 99.00 999 1010.3  11.4  13.3 999.0 99.0 99.00
2005 02 12 04 00 340  4.6 99.0 99.00 99.00 99.00 999 1010.8  11.7  13.3 999.0 99.0 99.00
2005 02 12 05 00 360  3.6 99.0 99.00 99.00 99.00 999 1011.1  11.6  13.3 999.0 99.0 99.00
2005 02 12 06 00  30  3.6 99.0 99.00 99.00 99.00 999 1011.5  11.4  13.3 999.0 99.0 99.00
2005 02 12 07 00  70  3.1 99.0 99.00 99.00 99.00 999 1011.9  11.5  13.3 999.0 99.0 99.00
2005 02 12 08 00  80  3.1 99.0 99.00 99.00 99.00 999 1012.5  11.5  13.3 999.0 99.0 99.00
2005 02 12 09 00  80  3.6 99.0 99.00 99.00 99.00 999 1012.8  11.5  13.3 999.0 99.0 99.00
2005 02 12 11 00 330  4.1 99.0 99.00 99.00 99.00 999 1013.0  11.4  13.3 999.0 99.0 99.00
2005 02 12 12 00  60  2.6 99.0 99.00 99.00 99.00 999 1012.9  11.4  13.3 999.0 99.0 99.00
2005 02 12 13 00  90  1.5 99.0 99.00 99.00 99.00 999 1013.4  11.7  13.3 999.0 99.0 99.00
2005 02 12 14 00  60  2.1 99.0 99.00 99.00 99.00 999 1013.1  11.7  13.3 999.0 99.0 99.00
2005 02 12 15 00 350  2.1 99.0 99.00 99.00 99.00 999 1014.5  11.6  13.3 999.0 99.0 99.00
2005 02 12 16 00 350  3.1 99.0 99.00 99.00 99.00 999 1015.6  11.4  13.3 999.0 99.0 99.00
2005 02 12 17 00  20  1.5 99.0 99.00 99.00 99.00 999 1018.0  11.4  13.3 999.0 99.0 99.00
2005 02 12 18 00 300  1.5 99.0 99.00 99.00 99.00 999 1018.3  11.9  13.4 999.0 99.0 99.00
2005 02 12 19 00  50  0.5 99.0 99.00 99.00 99.00 999 1017.9  12.6  13.5 999.0 99.0 99.00
2005 02 12 20 00 260  1.5 99.0 99.00 99.00 99.00 999 1018.2  13.0  13.6 999.0 99.0 99.00
2005 02 14 15 00  90  5.7 99.0 99.00 99.00 99.00 999 1017.7  11.2  13.4 999.0 99.0 99.00
2005 02 14 16 00 100  2.6 99.0 99.00 99.00 99.00 999 1018.2  11.5  13.4 999.0 99.0 99.00
2005 02 14 17 00  90  2.1 99.0 99.00 99.00 99.00 999 1018.8  11.4  13.4 999.0 99.0 99.00
2005 02 14 18 00  50  1.5 99.0 99.00 99.00 99.00 999 1018.6  11.9  13.4 999.0 99.0 99.00
2005 02 14 19 00  40  2.6 99.0 99.00 99.00 99.00 999 1018.7  12.4  13.4 999.0 99.0 99.00
2005 02 14 20 00  30  3.6 99.0 99.00 99.00 99.00 999 1018.2  12.1  13.4 999.0 99.0 99.00
2005 02 14 21 00  30  4.1 99.0 99.00 99.00 99.00 999 1017.2  12.1  13.5 999.0 99.0 99.00
2005 02 14 22 00 360  2.6 99.0 99.00 99.00 99.00 999 1016.6  12.2  13.5 999.0 99.0 99.00
2005 02 14 23 00 210  1.5 99.0 99.00 99.00 99.00 999 1015.9  12.9  13.5 999.0 99.0 99.00
2005 02 15 00 00 170  2.6 99.0 99.00 99.00 99.00 999 1016.0  12.5  13.5 999.0 99.0 99.00
2005 02 15 01 00 180  4.6 99.0 99.00 99.00 99.00 999 1016.1  12.2  13.5 999.0 99.0 99.00
2005 02 15 02 00 140  6.2 99.0 99.00 99.00 99.00 999 1016.0  11.5  13.5 999.0 99.0 99.00
