#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 02 50  13  4.1  5.1  2.88 13.79  8.57 307 1021.5 999.0  13.3 999.0 99.0 99.00
2010 01 03 03 50  88  4.0  5.3  3.17 13.79  9.57 295 1021.6 999.0  13.3 999.0 99.0 99.00
2010 01 03 04 50  93  5.7  7.3  2.73 13.79  9.46 297 1021.6 999.0  13.3 999.0 99.0 99.00
2010 01 03 05 50  75  6.2  7.7  3.06 13.79  9.96 300 1021.6 999.0  13.2 999.0 99.0 99.00
2010 01 03 06 50  56  4.6  6.2  2.66 12.90  9.01 301 1021.8 999.0  13.2 999.0 99.0 99.00
2010 01 03 07 50  76  7.2  8.8  2.58 11.43  8.37 302 1020.8 999.0  13.1 999.0 99.0 99.00
2010 01 03 08 50  77  8.1  9.8  2.90 12.90  8.54 299 1020.3 999.0  13.1 999.0 99.0 99.00
2010 01 03 09 50  82  8.3 10.3  2.65 12.90  7.71 290 1020.2 999.0  13.0 999.0 99.0 99.00
2010 01 03 10 50  79  9.1 11.9  2.62 12.90  7.56 283 1019.9 999.0  13.1 999.0 99.0 99.00
2010 01 03 11 50  76  7.2  9.0  2.78 12.90  7.70 288 1019.8 999.0  13.1 999.0 99.0 99.00
2010 01 03 12 50  66  6.3  7.8  2.50 12.12  7.62 300 1019.9 999.0  13.1 999.0 99.0 99.00
2010 01 03 13 50  71  6.8  8.4  2.37 12.90  7.58 296 1019.6 999.0  13.0 999.0 99.0 99.00
2010 01 03 14 50  67  6.3  7.7  2.19 12.12  7.55 283 1019.6 999.0  12.9 999.0 99.0 99.00
2010 01 03 15 50  55  4.7  5.8  2.26 12.12  7.59 294 1020.0 999.0  12.8 999.0 99.0 99.00
2010 01 03 16 50  72  6.7  8.1  2.16 12.90  7.18 291 1019.8 999.0  12.8 999.0 99.0 99.00
2010 01 03 17 50  73  4.8  6.1  2.09 10.81  6.98 298 1020.3 999.0  12.8 999.0 99.0 99.00
2010 01 03 18 50  78  5.8  7.2  2.08 12.12  7.16 301 1019.8 999.0  12.8 999.0 99.0 99.00
2010 01 03 19 50  76  6.7  8.5  2.01 12.12  6.66 292 1019.1 999.0  12.8 999.0 99.0 99.00
2010 01 03 20 50  79  5.3  6.5  1.98 11.43  7.00 295 1018.4 999.0  12.7 999.0 99.0 99.00
2010 01 03 22 50  27  2.6  3.2  1.80 12.12  7.23 295 1018.2 999.0  12.8 999.0 99.0 99.00
2010 01 03 23 50  16  3.4  4.0  1.82 11.43  8.02 305 1018.2 999.0  12.8 999.0 99.0 99.00
2010 01 04 00 50   7  3.8  4.4  1.70 11.43  8.36 295 1018.1 999.0  12.8 999.0 99.0 99.00
2010 01 04 01 50 353  3.7  4.4  1.59 10.81  8.52 306 1018.5 999.0  12.8 999.0 99.0 99.00
2010 01 04 02 50  15  3.1  3.6  1.68 10.81  8.79 309 1018.6 999.0  12.8 999.0 99.0 99.00
2010 01 04 03 50 342  3.1  3.6  1.69 10.81  8.74 302 1018.9 999.0  12.8 999.0 99.0 99.00
2010 01 04 04 50   2  3.4  4.1  1.46 10.81  8.83 305 1019.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 05 50  30  2.9  3.5  1.44 10.81  8.65 299 1019.1 999.0  12.8 999.0 99.0 99.00
2010 01 04 06 50  43  2.5  3.0  1.38 10.81  8.76 306 1019.1 999.0  12.8 999.0 99.0 99.00
2010 01 04 07 50  49  2.3  3.2  1.33 10.81  8.57 309 1018.8 999.0  12.7 999.0 99.0 99.00
2010 01 04 08 50  64  2.1  2.7  1.29 10.81  8.16 290 1018.7 999.0  12.7 999.0 99.0 99.00
2010 01 04 09 50  54  4.4  5.5  1.32 10.81  7.63 299 1018.6 999.0  12.8 999.0 99.0 99.00
2010 01 04 10 50 106  4.4  6.0  1.25 10.00  6.83 312 1019.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 11 50  73  4.5  5.5  1.37 10.81  6.85 292 1018.8 999.0  12.8 999.0 99.0 99.00
2010 01 04 12 50  77  5.3  6.2  1.33 10.00  6.73 296 1018.8 999.0  12.8 999.0 99.0 99.00
2010 01 04 13 50  72  7.3  8.5  1.28 11.43  6.59 290 1018.4 999.0  12.8 999.0 99.0 99.00
2010 01 04 14 50  85  5.9  6.9  1.20 17.39  6.27 324 1018.7 999.0  12.8 999.0 99.0 99.00
2010 01 04 15 50  79  4.3  5.7  1.23 17.39  6.22 294 1019.2 999.0  12.8 999.0 99.0 99.00
2010 01 04 16 50  73  5.8  6.8  1.19 10.81  6.21 291 1019.6 999.0  12.8 999.0 99.0 99.00
2010 01 04 17 50  62  5.6  6.9  1.36 12.12  6.53 282 1020.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 18 50  40  5.2  6.0  1.28 12.12  6.28 276 1020.1 999.0  12.9 999.0 99.0 99.00
2010 01 04 19 50   1  4.8  6.0  1.18 12.90  6.78 271 1019.9 999.0  12.9 999.0 99.0 99.00
2010 01 04 23 50 334  3.0  3.9  1.36 17.39  9.36 301 1018.8 999.0  13.1 999.0 99.0 99.00
2010 01 05 00 50 328  2.1  2.7  1.40 16.00  9.45 311 1018.7 999.0  13.1 999.0 99.0 99.00
2010 01 05 01 50 294  3.9  4.6  1.52 16.00  9.70 309 1019.1 999.0  13.0 999.0 99.0 99.00
2010 01 05 02 50 300  3.5  4.1  1.56 16.00  9.56 308 1019.5 999.0  13.0 999.0 99.0 99.00
2010 01 05 03 50 323  2.2  2.8  1.48 16.00  9.50 306 1019.4 999.0  13.0 999.0 99.0 99.00
2010 01 05 04 50 311  3.9  4.6  1.55 16.00  9.65 305 1019.9 999.0  13.0 999.0 99.0 99.00
2010 01 05 05 50 320  3.1  4.3  1.54 14.81  9.80 303 1020.3 999.0  13.0 999.0 99.0 99.00
2010 01 05 06 50 308  2.8  4.0  1.76 14.81  9.96 309 1020.5 999.0  12.9 999.0 99.0 99.00
2010 01 05 07 50 314  3.2  4.1  1.62 16.00  9.47 299 1020.2 999.0  13.0 999.0 99.0 99.00
2010 01 05 08 50 351  4.0  4.7  1.72 16.00  9.84 299 1019.9 999.0  13.0 999.0 99.0 99.00
2010 01 05 09 50   8  2.4  2.8  1.76 14.81  9.33 305 1019.7 999.0  13.0 999.0 99.0 99.00
2010 01 05 10 50  98  2.6  3.6  1.64 14.81  9.36 306 1019.5 999.0  12.9 999.0 99.0 99.00
2010 01 05 11 50  97  3.3  4.1  1.75 14.81  9.10 302 1019.8 999.0  12.9 999.0 99.0 99.00
2010 01 05 12 50  68  2.4  3.5  1.44 14.81  8.31 291 1019.9 999.0  12.9 999.0 99.0 99.00
2010 01 05 13 50 317  3.4  4.4  1.68 14.81  8.69 282 1020.7 999.0  12.9 999.0 99.0 99.00
2010 01 05 14 50 329  2.3  2.7  1.56 14.81  8.20 280 1021.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 15 50 338  1.3  1.9  1.51 14.81  7.94 281 1021.2 999.0  12.9 999.0 99.0 99.00
2010 01 05 16 50  56  0.8  1.3  1.40 14.81  7.98 289 1021.4 999.0  12.9 999.0 99.0 99.00
2010 01 05 17 50 174  0.7  1.4  1.43 14.81  8.06 298 1021.8 999.0  12.9 999.0 99.0 99.00
2010 01 05 18 50  92  3.3  4.0  1.26 14.81  7.08 298 1021.5 999.0  13.0 999.0 99.0 99.00
2010 01 05 19 50  63  1.4  1.9  1.34 14.81  7.51 294 1020.9 999.0  13.1 999.0 99.0 99.00
2010 01 05 20 50  49  1.6  2.4  1.18 14.81  7.22 308 1020.1 999.0  13.2 999.0 99.0 99.00
2010 01 05 21 50  16  1.9  2.5  1.16 14.81  7.18 292 1019.4 999.0  13.3 999.0 99.0 99.00
2010 01 05 22 50 313  1.6  2.2  1.26 14.81  7.84 294 1019.2 999.0  13.3 999.0 99.0 99.00
2010 01 05 23 50 301  5.2  6.0  1.21 13.79  8.20 293 1019.3 999.0  13.4 999.0 99.0 99.00
2010 01 06 00 50 326  5.2  6.2  1.24 13.79  8.09 289 1019.1 999.0  13.2 999.0 99.0 99.00
2010 01 06 01 50 321  4.3  5.4  1.27 13.79  7.60 300 1019.5 999.0  13.1 999.0 99.0 99.00
2010 01 06 02 50 320  6.6  8.1  1.24 13.79  7.05 299 1019.7 999.0  13.1 999.0 99.0 99.00
2010 01 06 03 50 355  6.7  8.0  1.30 13.79  6.22 307 1020.1 999.0  13.1 999.0 99.0 99.00
2010 01 06 04 50 355  6.5  7.3  1.31 12.90  5.94 293 1020.1 999.0  13.0 999.0 99.0 99.00
2010 01 06 05 50  18  3.4  4.0  1.32 12.90  5.96 304 1019.9 999.0  13.0 999.0 99.0 99.00
2010 01 06 06 50 316  2.2  2.8  1.21 12.90  6.27 305 1020.6 999.0  13.0 999.0 99.0 99.00
2010 01 06 07 50 315  6.3  8.0  1.23 12.90  6.88 295 1020.7 999.0  13.0 999.0 99.0 99.00
2010 01 06 08 50   1  5.9  7.2  1.23 17.39  6.93 296 1020.0 999.0  13.0 999.0 99.0 99.00
2010 01 06 09 50   8  3.3  4.1  1.20 12.90  6.68 297 1019.6 999.0  13.0 999.0 99.0 99.00
2010 01 06 10 50 358  1.4  1.8  1.17 16.00  7.10 275 1020.1 999.0  13.0 999.0 99.0 99.00
2010 01 06 11 50 349  3.3  3.9  1.16 16.00  7.46 273 1020.0 999.0  13.0 999.0 99.0 99.00
2010 01 06 12 50  13  5.1  6.2  1.12 16.00  7.64 280 1019.6 999.0  13.0 999.0 99.0 99.00
2010 01 06 13 50 345  5.1  6.5  1.22 16.00  7.45 291 1020.0 999.0  13.0 999.0 99.0 99.00
2010 01 06 14 50   2  6.0  7.1  1.20 16.00  6.68 282 1020.4 999.0  12.9 999.0 99.0 99.00
2010 01 06 15 50  61  1.7  2.3  1.22 16.00  6.50 280 1020.9 999.0  13.0 999.0 99.0 99.00
2010 01 06 16 50  96  1.8  2.3  1.28 16.00  6.38 290 1021.2 999.0  13.0 999.0 99.0 99.00
2010 01 06 17 50 109  2.2  2.8  1.26 16.00  6.86 284 1021.6 999.0  13.0 999.0 99.0 99.00
2010 01 06 18 50  89  3.2  4.0  1.33 14.81  7.22 292 1021.0 999.0  13.0 999.0 99.0 99.00
2010 01 06 19 50  42  0.5  1.0  1.18 14.81  6.60 286 1020.3 999.0  13.1 999.0 99.0 99.00
2010 01 06 20 50  51  0.4  0.9  1.28 14.81  7.70 288 1019.0 999.0  13.2 999.0 99.0 99.00
