YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 216  7.4  8.6  2.80 12.90  7.83 293 1011.8  12.4  13.8 999.0 99.0 99.00
2005 01 01 01 00 198  8.1  9.3  2.84 12.12  7.74 292 1011.6  12.3  13.8 999.0 99.0 99.00
2005 01 01 02 00 206  8.4 10.1  2.94 12.90  7.62 288 1011.5  12.6  13.8 999.0 99.0 99.00
2005 01 01 03 00 223  8.9 10.5  2.91 12.12  7.29 298 1011.8  11.5  13.8 999.0 99.0 99.00
2005 01 01 04 00 215  8.4 10.9  2.77 12.90  7.16 294 1012.1  12.1  13.8 999.0 99.0 99.00
2005 01 01 05 00 239  6.4  7.7  2.93 12.12  7.41 293 1012.4  12.0  13.7 999.0 99.0 99.00
2005 01 01 06 00 248  8.1  9.9  2.90 13.79  7.10 297 1012.9  12.2  13.7 999.0 99.0 99.00
2005 01 01 07 00 250  7.8 10.1  2.85 13.79  7.34 294 1013.5  11.2  13.7 999.0 99.0 99.00
2005 01 01 08 00 269  6.5  8.0  2.72 13.79  7.60 293 1013.8  12.1  13.7 999.0 99.0 99.00
2005 01 01 09 00 254  5.9  8.7  2.84 13.79  7.75 297 1013.7  11.8  13.7 999.0 99.0 99.00
2005 01 01 10 00 268  6.8  8.3  2.84 12.90  7.66 302 1013.9  11.5  13.7 999.0 99.0 99.00
2005 01 01 11 00 261  6.4  7.9  3.01 12.90  7.79 302 1014.1  11.6  13.7 999.0 99.0 99.00
2005 01 01 12 00 266  5.0  6.4  2.74 12.12  7.82 300 1014.5  11.5  13.6 999.0 99.0 99.00
2005 01 01 13 00 276  6.1  8.8  2.69 13.79  8.14 298 1014.8  11.6  13.6 999.0 99.0 99.00
2005 01 01 14 00 224  6.7 10.1  2.76 12.90  7.93 298 1015.2  10.4  13.6 999.0 99.0 99.00
2005 01 01 15 00 253  3.8  5.2  2.93 12.90  8.19 301 1015.8  11.4  13.6 999.0 99.0 99.00
2005 01 01 16 00 252  3.1  4.4  3.06 12.90  8.37 302 1016.2  11.4  13.6 999.0 99.0 99.00
2005 01 01 17 00 231  3.4  4.9  2.56 12.12  7.87 308 1016.9  11.7  13.6 999.0 99.0 99.00
2005 01 01 18 00 293  6.0  7.9  2.95 12.12  8.14 300 1017.6  11.0  13.7 999.0 99.0 99.00
2005 01 01 19 00 203  1.6  2.4  3.06 12.12  8.08 306 1018.0  11.4  13.7 999.0 99.0 99.00
2005 01 01 20 00 271  3.1  4.4  2.72 12.12  7.87 305 1017.7  11.0  13.7 999.0 99.0 99.00
2005 01 01 21 00 236  3.8  5.6  2.90 12.12  8.06 310 1016.9  11.6  13.7 999.0 99.0 99.00
2005 01 01 22 00 217  5.5  6.7  3.08 12.12  8.15 305 1016.5  11.9  13.7 999.0 99.0 99.00
2005 01 01 23 00 233  4.8  6.2  2.93 11.43  7.96 306 1016.3  11.9  13.7 999.0 99.0 99.00
2005 01 02 00 00 257  3.5  4.4  2.82 11.43  7.80 302 1016.2  11.8  13.7 999.0 99.0 99.00
2005 01 02 01 00 235  3.6  4.8  2.67 11.43  7.96 305 1016.2  11.6  13.7 999.0 99.0 99.00
2005 01 02 02 00 227  4.1  5.2  2.76 11.43  7.79 301 1016.1  11.7  13.7 999.0 99.0 99.00
2005 01 02 03 00 249  5.3  7.1  2.80 11.43  7.89 294 1016.4  11.8  13.7 999.0 99.0 99.00
2005 01 02 04 00 242  4.2  5.2  2.72 12.12  7.97 301 1016.5  11.7  13.7 999.0 99.0 99.00
2005 01 02 05 00 220  4.0  5.7  2.55 11.43  7.97 297 1016.6  11.8  13.7 999.0 99.0 99.00
2005 01 02 06 00 212  4.9  5.9  2.62 12.12  8.08 302 1016.5  11.7  13.7 999.0 99.0 99.00
2005 01 02 07 00 206  5.1  6.5  2.56 12.90  8.10 302 1016.2  11.7  13.7 999.0 99.0 99.00
2005 01 02 08 00 197  4.0  5.5  2.52 12.12  8.16 311 1016.2  11.6  13.7 999.0 99.0 99.00
2005 01 02 09 00 191  5.4  6.9  2.61 12.12  8.21 309 1015.6  11.8  13.7 999.0 99.0 99.00
2005 01 02 10 00 197  5.9  7.9  2.82 11.43  8.41 308 1015.5  10.4  13.7 999.0 99.0 99.00
2005 01 02 11 00 194  4.8  6.1  2.60 11.43  8.20 313 1014.8  11.2  13.6 999.0 99.0 99.00
2005 01 02 12 00 189  6.3  7.5  2.54 11.43  8.36 316 1014.3  10.6  13.6 999.0 99.0 99.00
2005 01 02 13 00 228  5.9  9.1  2.57 11.43  8.29 318 1013.9  10.2  13.6 999.0 99.0 99.00
2005 01 02 14 00 182  4.3  6.4  2.48 12.12  8.42 315 1013.4  10.5  13.6 999.0 99.0 99.00
2005 01 02 15 00 179  3.5  5.4  2.64 12.12  8.12 314 1013.1  10.5  13.6 999.0 99.0 99.00
2005 01 02 16 00 165  5.4  9.6  2.50 12.12  8.10 313 1012.9  10.9  13.6 999.0 99.0 99.00
