#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 333  7.3  8.8 99.00 99.00 99.00 999 1019.2  12.7  14.3 999.0 99.0 99.00
2015 01 01 00 50 335  8.1  9.1 99.00 99.00 99.00 999 1018.8  13.3  14.3 999.0 99.0 99.00
2015 01 01 01 50 328  7.8  9.2 99.00 99.00 99.00 999 1019.1  12.7  14.4 999.0 99.0 99.00
2015 01 01 02 50 328  6.9  8.0 99.00 99.00 99.00 999 1019.2  13.0  14.3 999.0 99.0 99.00
2015 01 01 03 50 323  4.6  5.7  1.13 12.90  5.15 307 1019.3  13.1  14.3 999.0 99.0 99.00
2015 01 01 04 50 333  4.2  5.3  1.05 12.90  5.63 311 1018.8  13.2  14.2 999.0 99.0 99.00
2015 01 01 05 50 323  3.5  4.7  1.05 12.90  6.06 301 1018.6  13.6  14.2 999.0 99.0 99.00
2015 01 01 06 50 309 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 01 07 50 304  4.1  5.1  0.98 12.90  6.34 301 1018.3  13.4  14.2 999.0 99.0 99.00
2015 01 01 09 50 335  4.6  5.6  1.06 12.90  6.09 292 1018.1  13.5  14.2 999.0 99.0 99.00
2015 01 01 10 50  71  4.7  5.5  1.06 12.12  6.23 300 1018.3  11.0  14.2 999.0 99.0 99.00
2015 01 01 11 50  72  3.8  5.1  1.14 12.90  6.26 303 1018.4  10.7  14.2 999.0 99.0 99.00
2015 01 01 12 50  80  4.8  5.8  1.16  8.33  5.96 320 1017.9  10.1  14.2 999.0 99.0 99.00
2015 01 01 13 50  83  5.0  6.0  1.28  9.09  5.97 320 1018.1   9.9  14.1 999.0 99.0 99.00
2015 01 01 14 50  91  5.1  6.3  1.18  9.09  5.65 327 1018.6   9.8  14.1 999.0 99.0 99.00
2015 01 01 15 50  85  5.4  6.3  1.32  8.33  5.64 319 1018.9  10.0  14.1 999.0 99.0 99.00
2015 01 01 16 50  90  5.5  6.6  1.54 10.00  5.86 306 1020.2  10.1  14.1 999.0 99.0 99.00
2015 01 01 17 50  93  4.3  5.5  1.51  8.33  5.84 316 1021.0  10.0  14.1 999.0 99.0 99.00
2015 01 01 18 50  80  5.5  6.5  1.66  9.09  6.18 318 1020.9  10.2  14.2 999.0 99.0 99.00
2015 01 01 19 50  83  3.6  4.6  1.79  9.09  6.34 320 1020.3  10.3  14.2 999.0 99.0 99.00
2015 01 01 20 50  99  3.5  5.1  1.69  9.09  6.52 320 1019.8  10.5  14.3 999.0 99.0 99.00
2015 01 01 21 50  97  3.1  4.2  1.52  9.09  6.40 320 1019.1  11.1  14.4 999.0 99.0 99.00
2015 01 01 22 50  67  2.1  3.0  1.51  9.09  6.35 322 1019.6  11.6  14.5 999.0 99.0 99.00
2015 01 01 23 50   6  1.9  2.6  1.16 11.43  6.12 307 1020.1  11.7  14.5 999.0 99.0 99.00
2015 01 02 00 50 345  2.1  2.9  1.16 10.81  6.73 308 1020.2  11.7  14.6 999.0 99.0 99.00
2015 01 02 01 50 336  1.8  2.6  1.01 10.81  6.69 313 1020.6  11.6  14.5 999.0 99.0 99.00
2015 01 02 02 50 324  0.7  1.6  1.05 10.81  7.47 311 1020.7  11.5  14.4 999.0 99.0 99.00
2015 01 02 03 50  42  1.0  1.4  1.05 10.81  7.27 315 1020.6  12.0  14.3 999.0 99.0 99.00
2015 01 02 04 50  60  1.1  1.6  1.12 10.81  7.30 305 1020.9  12.2  14.3 999.0 99.0 99.00
2015 01 02 05 50  51  1.7  2.3  1.16  9.09  7.04 319 1020.9  12.2  14.2 999.0 99.0 99.00
2015 01 02 06 50 121  0.5  1.1  1.13 12.90  7.11 301 1021.1  12.0  14.2 999.0 99.0 99.00
2015 01 02 07 50  89  3.1  3.8  1.24  9.09  7.15 318 1021.4  11.7  14.2 999.0 99.0 99.00
2015 01 02 08 50 105  3.1  3.9  1.27  7.69  7.00 316 1021.2  11.6  14.2 999.0 99.0 99.00
2015 01 02 09 50  85  4.4  5.5  1.17 13.79  6.65 303 1021.5  11.1  14.2 999.0 99.0 99.00
2015 01 02 10 50  99  4.6  5.5  1.19 13.79  6.17 290 1021.4  10.9  14.2 999.0 99.0 99.00
2015 01 02 11 50  96  4.6  5.5  1.30 12.90  6.15 302 1021.1  10.9  14.2 999.0 99.0 99.00
2015 01 02 12 50  92  4.7  5.5 99.00 99.00 99.00 999 1020.8  10.6  14.1 999.0 99.0 99.00
2015 01 02 13 50  88  4.2  5.2  1.37 13.79  6.37 304 1020.9  10.6  14.2 999.0 99.0 99.00
2015 01 02 14 50  95  4.0  5.0  1.35 13.79  6.57 305 1021.2  10.5  14.2 999.0 99.0 99.00
2015 01 02 15 50  82  4.1  5.4  1.30 12.90  6.38 299 1021.8  10.4  14.2 999.0 99.0 99.00
2015 01 02 16 50  74  4.5  5.6  1.20 12.90  6.34 295 1022.4  10.3  14.2 999.0 99.0 99.00
2015 01 02 17 50  92  4.4  5.3  1.26 12.90  6.32 309 1022.8  10.4  14.2 999.0 99.0 99.00
2015 01 02 18 50  88  3.9  5.3  1.18 12.12  6.06 296 1022.4  10.5  14.3 999.0 99.0 99.00
2015 01 02 19 50  79  3.4  4.3  1.07 12.90  6.05 293 1021.4  10.6  14.4 999.0 99.0 99.00
2015 01 02 20 50  55  2.5  3.7  1.15 12.12  6.69 303 1020.4  10.8  14.4 999.0 99.0 99.00
2015 01 02 21 50  15  1.6  2.4  1.13 12.90  7.07 295 1019.9  11.0  14.5 999.0 99.0 99.00
2015 01 02 22 50 332  3.0  4.2  1.00 12.90  6.86 308 1019.9  11.5  14.6 999.0 99.0 99.00
2015 01 02 23 50 314  4.0  4.8 99.00 99.00 99.00 999 1020.0  11.8  14.7 999.0 99.0 99.00
2015 01 03 00 50 324  5.1  6.0  0.98 12.12  7.85 295 1019.8  11.7  14.7 999.0 99.0 99.00
2015 01 03 01 50 321  5.3 99.0 99.00 99.00 99.00 999 1020.1  12.1  14.6 999.0 99.0 99.00
2015 01 03 02 50 317  5.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 03 03 50 317  5.4  6.3  1.06 12.12  5.89 300 1020.8  12.1  14.4 999.0 99.0 99.00
2015 01 03 04 50 312  5.7  6.9  1.12 12.12  6.24 315 1021.3  12.3  14.4 999.0 99.0 99.00
2015 01 03 05 50 329  6.7  8.3  1.11 12.12  5.78 285 1021.5  12.2  14.3 999.0 99.0 99.00
2015 01 03 06 50 345  7.3  8.7  1.18 12.12  5.60 301 1021.7  12.0  14.2 999.0 99.0 99.00
2015 01 03 07 50   4  6.3  7.6  1.19 11.43  5.75 294 1021.6  11.7  14.2 999.0 99.0 99.00
2015 01 03 08 50  15  6.1  7.5  1.10 12.12  5.61 300 1021.8  11.7  14.1 999.0 99.0 99.00
2015 01 03 09 50  36  3.4  5.7 99.00 99.00 99.00 999 1022.4  11.4  14.1 999.0 99.0 99.00
2015 01 03 10 50  11  4.8  6.4  1.04 12.12  5.66 303 1022.5  11.7  14.1 999.0 99.0 99.00
2015 01 03 11 50  89  2.4  3.4  1.03 12.90  5.42 286 1022.9  10.6  14.0 999.0 99.0 99.00
2015 01 03 12 50  92  3.9  4.8  0.99 11.43  5.68 299 1022.6  10.7  14.0 999.0 99.0 99.00
2015 01 03 13 50  82  3.6  4.8  0.97 11.43  5.95 303 1022.8  10.6  14.0 999.0 99.0 99.00
2015 01 03 14 50  95  5.2  6.5  0.83 11.43  5.13 301 1022.9  10.2  14.0 999.0 99.0 99.00
2015 01 03 15 50  91  5.6  6.5  0.94 12.12  5.52 306 1023.2  10.0  13.8 999.0 99.0 99.00
2015 01 03 16 50  89  5.0  6.0  0.98 10.81  5.11 310 1024.1  10.3  13.8 999.0 99.0 99.00
2015 01 03 17 50  73  5.1  6.0  1.03 12.12  5.37 302 1025.0  10.4  13.9 999.0 99.0 99.00
2015 01 03 18 50  75  4.1  5.2  1.00 12.12  5.40 324 1025.0  10.5  13.9 999.0 99.0 99.00
2015 01 03 19 50  67  3.1  3.7  0.99 12.12  5.73 278 1024.2  10.7  14.0 999.0 99.0 99.00
2015 01 03 20 50  51  2.2  3.1 99.00 99.00 99.00 999 1023.8  11.4  14.0 999.0 99.0 99.00
2015 01 03 21 50 337  3.0  3.6  0.96 11.43  6.34 296 1024.3  11.7  14.1 999.0 99.0 99.00
2015 01 03 22 50 331  3.4  4.3  0.88 11.43  6.49 305 1024.6  12.1  14.2 999.0 99.0 99.00
2015 01 03 23 50 335  3.5  4.7  0.88 12.12  6.90 298 1025.0  12.4  14.3 999.0 99.0 99.00
2015 01 04 00 50 342  5.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2015 01 04 01 50 346  4.3  5.1  0.84 12.12  6.71 295 1025.2  12.4  14.2 999.0 99.0 99.00
2015 01 04 02 50 340  4.9  5.7  0.91 10.81  6.41 315 1025.3  12.5  14.1 999.0 99.0 99.00
2015 01 04 03 50 348  4.3  5.4  0.92 12.12  6.50 327 1025.5  12.6  14.1 999.0 99.0 99.00
2015 01 04 04 50 354  3.7  4.5  0.89 12.12  6.36 327 1025.9  12.5  13.9 999.0 99.0 99.00
2015 01 04 05 50 348  3.1  3.8  0.87 12.12  6.58 304 1026.2  12.5  13.8 999.0 99.0 99.00
2015 01 04 06 50 340  3.9  5.0  0.91 10.81  7.06 315 1026.4  12.5  13.8 999.0 99.0 99.00
2015 01 04 07 50 345  4.0  4.7  0.89 12.90  6.99 308 1026.7  12.4  13.8 999.0 99.0 99.00
2015 01 04 08 50   1  3.6 99.0  0.94 12.12  7.62 318 1026.4  12.2  13.7 999.0 99.0 99.00
2015 01 04 09 50   3  3.1  3.8  0.90 12.90  7.71 309 1026.5  12.2  13.6 999.0 99.0 99.00
2015 01 04 10 50  45  2.1  2.9  0.91 12.90  7.78 312 1027.0  12.2  13.7 999.0 99.0 99.00
2015 01 04 11 50  61  3.4  4.1  0.90 12.90  7.42 301 1027.3  11.3  13.7 999.0 99.0 99.00
