#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 317  4.4  5.4  2.28 19.05 10.49 302 1023.7  11.2  13.0 999.0 99.0 99.00
2013 01 01 00 50 316  4.9  5.9  2.23 19.05 10.03 296 1023.9  11.0  12.9 999.0 99.0 99.00
2013 01 01 01 50 331  4.6  5.8  2.34 19.05  9.86 300 1024.0  11.0  12.8 999.0 99.0 99.00
2013 01 01 02 50 342  5.2  6.6  2.26 19.05  9.93 294 1024.2  11.1  12.8 999.0 99.0 99.00
2013 01 01 03 50 346  4.4  5.6  1.92 17.39  9.03 296 1024.4  11.1  12.7 999.0 99.0 99.00
2013 01 01 04 50 302  1.1  2.2  2.37 17.39 10.42 295 1024.0  11.0  12.6 999.0 99.0 99.00
2013 01 01 05 50 351  3.5  4.9  1.93 17.39  9.51 294 1024.3  11.1  12.5 999.0 99.0 99.00
2013 01 01 06 50 341  2.6  3.7  2.67 17.39 12.27 292 1024.4  11.2  12.5 999.0 99.0 99.00
2013 01 01 07 50 360  2.0  2.8  2.46 17.39 11.74 293 1024.1  11.1  12.5 999.0 99.0 99.00
2013 01 01 08 50   5  1.4  2.2  2.50 17.39 11.68 290 1023.5  11.0  12.4 999.0 99.0 99.00
2013 01 01 09 50  87  0.8  1.9  2.72 17.39 13.00 291 1023.3  10.9  12.4 999.0 99.0 99.00
2013 01 01 10 50  13  2.0  2.8  2.59 17.39 12.30 290 1023.5  11.0  12.4 999.0 99.0 99.00
2013 01 01 11 50  19  1.5  2.2  2.85 17.39 13.22 288 1023.1  10.9  12.3 999.0 99.0 99.00
2013 01 01 12 50  82  3.4  4.9  2.46 16.00 11.87 295 1022.7  10.3  12.4 999.0 99.0 99.00
2013 01 01 13 50  91  3.5  4.9  2.83 16.00 13.23 306 1022.7  10.2  12.4 999.0 99.0 99.00
2013 01 01 14 50  83  5.0  6.6  2.98 16.00 12.80 297 1023.0   9.7  12.4 999.0 99.0 99.00
2013 01 01 15 50  97  3.6  5.4  2.91 16.00 12.11 297 1023.0   9.9  12.4 999.0 99.0 99.00
2013 01 01 16 50  96  5.5  7.2  2.86 17.39 12.29 300 1023.3  10.1  12.4 999.0 99.0 99.00
2013 01 01 17 50  94  3.8  5.0  2.80 16.00 11.67 297 1023.4  10.4  12.5 999.0 99.0 99.00
2013 01 01 18 50  87  5.4  6.7  2.68 17.39 11.55 302 1023.3   9.9  12.6 999.0 99.0 99.00
2013 01 01 19 50  90  5.6  7.2  2.72 16.00 11.48 301 1022.6  10.0  12.7 999.0 99.0 99.00
2013 01 01 20 50  81  5.2  6.9  2.48 16.00 10.99 299 1022.1  10.7  12.8 999.0 99.0 99.00
2013 01 01 21 50  46  2.6  3.8  2.88 16.00 11.57 300 1021.8  11.3  12.8 999.0 99.0 99.00
2013 01 01 22 50 354  5.2  6.7  2.70 14.81 11.20 291 1021.5  11.1  12.8 999.0 99.0 99.00
2013 01 01 23 50 337  6.5  8.0  2.49 14.81 11.07 295 1021.6  10.8  12.9 999.0 99.0 99.00
2013 01 02 00 50 350  5.4  6.6  2.76 16.00 11.60 311 1021.6  11.4  12.9 999.0 99.0 99.00
2013 01 02 01 50   3  6.6  7.6  2.45 16.00 11.54 303 1021.9  11.5  12.8 999.0 99.0 99.00
