#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 141  0.3  1.0  1.91 10.81  8.00 309 1018.0  10.1  12.5 999.0 99.0 99.00
2011 01 01 00 50 128  1.1  1.9  2.11 10.81  8.02 306 1017.7  10.1  12.5 999.0 99.0 99.00
2011 01 01 01 50 143  2.1  3.0  1.89 10.81  7.89 309 1017.4  10.2  12.4 999.0 99.0 99.00
2011 01 01 02 50 161  2.3  3.3  1.94 11.43  8.26 309 1017.7  10.4  12.4 999.0 99.0 99.00
2011 01 01 03 50 162  2.7  3.7  1.88 11.43  8.30 309 1017.8  10.6  12.4 999.0 99.0 99.00
2011 01 01 04 50 152  4.2  5.3  1.82 11.43  8.68 306 1017.7  10.8  12.4 999.0 99.0 99.00
2011 01 01 05 50 156  6.5  8.0  1.58 11.43  8.14 303 1017.6  11.1  12.4 999.0 99.0 99.00
2011 01 01 06 50 156  8.7 10.7  1.76 12.12  7.52 292 1017.2  11.4  12.4 999.0 99.0 99.00
2011 01 01 07 50 161  9.5 11.2  1.59 12.12  5.86 285 1017.3  11.5  12.4 999.0 99.0 99.00
2011 01 01 08 50 155 10.8 13.1  1.75 11.43  5.48 301 1016.4  11.6  12.4 999.0 99.0 99.00
2011 01 01 09 50 157 12.0 15.5  1.79 11.43  5.08 304 1015.6  11.7  12.4 999.0 99.0 99.00
2011 01 01 10 50 154 12.1 14.4  1.97 12.12  5.17 298 1015.7  11.5  12.4 999.0 99.0 99.00
2011 01 01 11 50 156 13.6 16.3  2.13  5.88  5.09 171 1014.7  11.3  12.5 999.0 99.0 99.00
2011 01 01 12 50 156 13.6 17.3  2.41  6.25  5.33 163 1014.7  11.0  12.4 999.0 99.0 99.00
2011 01 01 13 50 155 14.1 16.2  2.59  6.25  5.48 173 1015.2  10.7  12.4 999.0 99.0 99.00
2011 01 01 14 50 161 14.7 19.5  2.78  6.67  5.66 170 1015.7  11.0  12.4 999.0 99.0 99.00
2011 01 01 15 50 162 12.5 15.2  3.10  7.14  6.00 174 1017.1  11.1  12.4 999.0 99.0 99.00
2011 01 01 16 50 152 11.9 14.4  2.79  7.14  5.83 167 1017.7  11.0  12.4 999.0 99.0 99.00
2011 01 01 17 50 148 12.3 15.6  2.91  7.14  5.99 161 1018.2  11.2  12.4 999.0 99.0 99.00
2011 01 01 18 50 149 12.0 14.4  2.81  7.14  5.97 162 1018.1  11.5  12.4 999.0 99.0 99.00
2011 01 01 19 50 153 12.9 15.6  2.84  7.69  5.94 161 1017.6  11.3  12.5 999.0 99.0 99.00
2011 01 01 20 50 151 11.9 15.5  2.88  7.69  5.88 157 1017.3  11.3  12.4 999.0 99.0 99.00
2011 01 01 21 50 149 13.8 17.3  2.99  7.69  5.88 160 1016.5  11.2  12.4 999.0 99.0 99.00
2011 01 01 22 50 148 13.8 16.8  3.19  7.69  6.11 157 1016.3  11.2  12.4 999.0 99.0 99.00
2011 01 01 23 50 150 12.8 15.7  3.13  7.69  6.13 162 1016.6  11.2  12.4 999.0 99.0 99.00
2011 01 02 00 50 156 14.2 17.8  3.24  8.33  6.05 156 1016.1  11.2  12.4 999.0 99.0 99.00
2011 01 02 01 50 152 13.1 16.0  3.36  8.33  6.24 166 1016.0  11.3  12.4 999.0 99.0 99.00
2011 01 02 02 50 149 14.2 17.8  3.46  8.33  6.37 159 1015.5  11.2  12.4 999.0 99.0 99.00
2011 01 02 03 50 147 13.8 16.8  3.61  8.33  6.46 161 1015.1  11.2  12.4 999.0 99.0 99.00
2011 01 02 04 50 147 15.2 18.6  3.72 17.39  6.70 295 1013.6  11.3  12.4 999.0 99.0 99.00
2011 01 02 05 50 146 13.9 18.5  4.38 16.00  7.52 304 1013.8  11.7  12.4 999.0 99.0 99.00
2011 01 02 06 50 150 14.8 19.5  4.75 16.00  7.71 297 1013.8  11.7  12.4 999.0 99.0 99.00
2011 01 02 07 50 145 15.0 20.0  4.84 16.00  7.86 295 1013.1  11.5  12.4 999.0 99.0 99.00
2011 01 02 08 50 147 14.2 17.6  5.33 16.00  8.58 298 1012.0  11.6  12.4 999.0 99.0 99.00
2011 01 02 09 50 145 15.3 20.0  4.80 16.00  7.92 287 1012.0  11.4  12.3 999.0 99.0 99.00
2011 01 02 10 50 145 12.5 17.8  5.20 16.00  8.08 294 1011.9  11.2  12.3 999.0 99.0 99.00
2011 01 02 11 50 151 13.6 18.5  5.16 17.39  8.29 287 1011.3  11.2  12.3 999.0 99.0 99.00
2011 01 02 12 50 146 10.0 12.2  5.36  9.09  8.33 168 1011.3  11.3  12.3 999.0 99.0 99.00
2011 01 02 13 50 159 10.0 12.4  4.59 16.00  8.17 283 1011.7  11.4  12.3 999.0 99.0 99.00
2011 01 02 14 50 157  8.7 12.9  4.47 16.00  8.08 296 1012.0  11.5  12.3 999.0 99.0 99.00
2011 01 02 15 50 150  7.8 10.5  4.35 16.00  8.11 287 1012.1  11.4  12.3 999.0 99.0 99.00
2011 01 02 16 50 150  8.5 10.7  4.87 16.00  8.72 295 1012.6  11.6  12.3 999.0 99.0 99.00
2011 01 02 17 50 151  8.3 10.1  4.07 16.00  8.05 288 1013.1  11.4  12.3 999.0 99.0 99.00
2011 01 02 18 50 147  8.0 10.5  4.11 14.81  8.32 295 1013.3  11.4  12.3 999.0 99.0 99.00
2011 01 02 19 50 150  6.8  9.0  3.71 16.00  8.43 284 1012.9  11.6  12.4 999.0 99.0 99.00
2011 01 02 20 50 149  5.9  8.0  3.90 14.81  8.84 290 1012.2  11.4  12.4 999.0 99.0 99.00
2011 01 02 21 50 154  4.5  6.3  3.47 14.81  8.49 284 1012.4  11.5  12.4 999.0 99.0 99.00
2011 01 02 22 50 148  2.8  4.7  3.81 14.81  9.21 292 1012.3  11.8  12.5 999.0 99.0 99.00
