#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 09 16 50  28  0.6  1.1  1.86 17.39 12.27 257 1023.2  10.9  10.7 999.0 99.0 99.00
2012 01 09 17 50  92  2.9  4.3  1.50 10.81 10.63 238 1023.7  11.8  11.0 999.0 99.0 99.00
2012 01 09 18 50 102  4.4  6.0  1.70 11.43  8.44 306 1023.4  11.6  11.4 999.0 99.0 99.00
2012 01 09 19 50  43  1.8  2.6  2.06 21.05  9.81 294 1023.0  11.7  11.6 999.0 99.0 99.00
2012 01 09 20 50  32  1.9  2.4  2.56 19.05 11.67 300 1022.2  11.7  11.8 999.0 99.0 99.00
2012 01 09 21 50  47  1.7  2.2  2.80 19.05 12.54 297 1021.4  11.9  11.9 999.0 99.0 99.00
2012 01 09 22 50 343  2.1  2.9  2.75 19.05 11.31 294 1021.4  12.1  12.1 999.0 99.0 99.00
2012 01 09 23 50 336  3.4  4.7  2.77 19.05 11.89 291 1021.5  12.0  12.2 999.0 99.0 99.00
2012 01 10 00 50 351  1.8  2.4  2.88 17.39 12.10 297 1021.6  11.8  12.1 999.0 99.0 99.00
2012 01 10 01 50 360  1.2  2.0  3.35 17.39 12.80 290 1021.7  11.5  12.0 999.0 99.0 99.00
2012 01 10 02 50 320  1.9  3.2  3.55 17.39 13.32 292 1021.8  11.3  11.9 999.0 99.0 99.00
2012 01 10 03 50 352  1.6  2.7  3.22 17.39 12.72 292 1021.8  11.4  11.8 999.0 99.0 99.00
2012 01 10 04 50  11  1.1  1.7  3.66 17.39 13.47 290 1021.8  11.3  11.7 999.0 99.0 99.00
2012 01 10 05 50  84  1.9  3.5  3.39 16.00 12.89 298 1021.5  11.2  11.6 999.0 99.0 99.00
2012 01 10 06 50 132  2.4  4.1  3.49 17.39 13.22 294 1021.4  11.2  11.5 999.0 99.0 99.00
2012 01 10 07 50  90  0.4  1.6  3.63 16.00 12.66 291 1021.7  11.1  11.5 999.0 99.0 99.00
2012 01 10 08 50 296  0.4  1.6  3.68 17.39 13.28 284 1021.5  10.9  11.5 999.0 99.0 99.00
2012 01 10 09 50 309  2.6  4.3  4.10 16.00 13.20 290 1021.8  11.0  11.5 999.0 99.0 99.00
2012 01 10 10 50 354  2.9  4.1  3.40 17.39 12.19 293 1021.7  11.2  11.5 999.0 99.0 99.00
2012 01 10 11 50   3  3.4  4.3  3.74 16.00 12.80 295 1021.3  11.1  11.4 999.0 99.0 99.00
2012 01 10 12 50   9  2.5  3.1  3.52 17.39 12.48 292 1021.2  10.8  11.4 999.0 99.0 99.00
2012 01 10 13 50 339  2.4  3.9  3.64 16.00 12.36 285 1021.0  10.0  11.4 999.0 99.0 99.00
2012 01 10 14 50 353  1.9  3.1  2.96 17.39 11.51 292 1020.9   9.3  11.3 999.0 99.0 99.00
2012 01 10 15 50  98  0.7  1.9  3.12 14.81 11.50 296 1020.4   9.2  11.3 999.0 99.0 99.00
2012 01 10 16 50  55  1.5  2.6  2.92 16.00 11.25 290 1021.3  10.4  11.3 999.0 99.0 99.00
2012 01 10 17 50  95  3.7  5.0  3.20 16.00 11.33 295 1021.1  10.5  11.4 999.0 99.0 99.00
2012 01 10 18 50  63  1.8  2.9  2.97 14.81 10.79 289 1021.3  10.4  11.5 999.0 99.0 99.00
2012 01 10 19 50 107  1.4  3.0  3.17 14.81 11.01 295 1021.0  10.6  11.7 999.0 99.0 99.00
2012 01 10 20 50 249  1.6  2.6  2.78 14.81 10.74 290 1020.3  11.0  11.9 999.0 99.0 99.00
2012 01 10 21 50 345  2.2  3.5  2.99 14.81 10.96 293 1019.5  10.6  12.1 999.0 99.0 99.00
2012 01 10 22 50  73  0.6  1.9  2.84 14.81 11.01 292 1019.1  10.8  12.2 999.0 99.0 99.00
2012 01 10 23 50 233  2.4  3.4  2.71 14.81 10.72 286 1019.3  11.1  12.2 999.0 99.0 99.00
2012 01 11 00 50 246  1.2  2.1  2.84 14.81 11.05 288 1019.6  10.9  12.2 999.0 99.0 99.00
2012 01 11 01 50 258  3.0  4.1  2.70 16.00 10.79 282 1019.9  10.3  12.0 999.0 99.0 99.00
2012 01 11 02 50 259  1.1  2.1  2.63 16.00 10.54 282 1020.4  10.3  11.9 999.0 99.0 99.00
2012 01 11 03 50 307  0.9  2.0  2.65 16.00 10.74 287 1020.3  10.3  11.8 999.0 99.0 99.00
2012 01 11 04 50  80  1.5  2.6  2.62 13.79 10.77 294 1019.9  10.1  11.7 999.0 99.0 99.00
2012 01 11 05 50 119  1.7  3.0  2.72 13.79 10.88 289 1019.8  10.4  11.6 999.0 99.0 99.00
2012 01 11 06 50 127  2.6  3.8  2.64 13.79 11.05 289 1019.9  10.5  11.5 999.0 99.0 99.00
2012 01 11 07 50 116  2.7  4.0  2.71 13.79 10.90 292 1019.5  10.6  11.5 999.0 99.0 99.00
2012 01 11 08 50 103  1.6  2.6  2.36 13.79 10.30 284 1019.4  10.5  11.5 999.0 99.0 99.00
2012 01 11 09 50  41  2.2  3.5  2.47 13.79 10.59 282 1019.4  10.0  11.5 999.0 99.0 99.00
2012 01 11 10 50  43  2.1  3.0  2.68 13.79 10.34 290 1019.6  10.0  11.5 999.0 99.0 99.00
2012 01 11 11 50 101  1.6  3.0  2.91 14.81 10.33 286 1019.4   9.5  11.5 999.0 99.0 99.00
2012 01 11 12 50  59  1.4  2.2  2.96 14.81  9.98 283 1019.4   8.4  11.5 999.0 99.0 99.00
2012 01 11 13 50  15  1.2  2.1  2.98 13.79  9.87 281 1019.8   9.0  11.5 999.0 99.0 99.00
2012 01 11 14 50 358  1.6  2.5  2.80 13.79  9.42 285 1019.8   9.5  11.5 999.0 99.0 99.00
2012 01 11 15 50   5  2.4  3.3  2.62 12.90  9.52 284 1019.9   9.6  11.5 999.0 99.0 99.00
2012 01 11 16 50  37  4.0  5.1  2.49 12.90  9.05 282 1020.2   9.6  11.5 999.0 99.0 99.00
2012 01 11 17 50  57  2.5  3.5  2.41 13.79  9.18 281 1020.6   9.9  11.6 999.0 99.0 99.00
2012 01 11 18 50  95  2.4  3.5  2.37 13.79  9.25 279 1020.1  10.2  11.6 999.0 99.0 99.00
2012 01 11 19 50  95  2.1  3.2  2.39 13.79  9.46 290 1018.9  10.6  11.7 999.0 99.0 99.00
2012 01 11 20 50  15  1.8  2.3  2.29 12.90  9.04 286 1018.2  10.6  12.0 999.0 99.0 99.00
2012 01 11 21 50 324  1.2  2.0  2.16 13.79  9.10 284 1017.3  10.9  12.2 999.0 99.0 99.00
2012 01 11 22 50 288  3.3  4.3  2.29 13.79  9.34 295 1017.2  11.1  12.4 999.0 99.0 99.00
2012 01 11 23 50 267  3.6  4.5  2.31 13.79  9.34 286 1017.3  11.7  12.4 999.0 99.0 99.00
2012 01 12 00 50 280  3.5  4.3  2.42 13.79  9.53 291 1017.2  11.8  12.4 999.0 99.0 99.00
2012 01 12 01 50 308  4.6  5.8  2.19 13.79  9.16 279 1017.2  11.7  12.3 999.0 99.0 99.00
2012 01 12 02 50 313  3.6  4.9  1.86 13.79  8.37 267 1017.5  11.5  12.2 999.0 99.0 99.00
