#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00  81  8.1 10.1  3.86 16.00  9.40 321 1021.0  12.8  11.4 999.0 99.0 99.00
2008 01 01 01 00  73  7.4  9.5  3.66 14.81  8.99 314 1021.0  12.8  11.4 999.0 99.0 99.00
2008 01 01 02 00  57  5.7  6.5  3.27 16.00  8.86 319 1021.3  12.1  11.4 999.0 99.0 99.00
2008 01 01 03 00  69  7.4  9.5  3.45 16.00  8.90 315 1021.6  12.6  11.3 999.0 99.0 99.00
2008 01 01 04 00  76  7.8  9.3  3.16 14.81  8.31 314 1021.8  12.8  11.3 999.0 99.0 99.00
2008 01 01 05 00  64  7.0  9.1  3.23 14.81  8.31 332 1022.0  12.1  11.4 999.0 99.0 99.00
2008 01 01 06 00  64  6.8  8.2  3.08 14.81  8.80 323 1021.9  11.2  11.4 999.0 99.0 99.00
2008 01 01 07 00  74  8.0  9.5  2.97 13.79  8.46 325 1021.8  11.1  11.4 999.0 99.0 99.00
2008 01 01 08 00  91  8.8 10.9  2.92 14.81  8.06 318 1021.6  12.0  11.4 999.0 99.0 99.00
2008 01 01 09 00  97 10.1 12.2  2.83 14.81  7.44 331 1021.2  11.4  11.4 999.0 99.0 99.00
2008 01 01 10 00  94  9.2 11.2  2.71 13.79  7.37 324 1021.4  10.8  11.4 999.0 99.0 99.00
2008 01 01 11 00  91  8.4 10.0  2.59 12.90  7.69 324 1021.5  11.0  11.4 999.0 99.0 99.00
2008 01 01 12 00  91  7.7  9.9  2.51 13.79  7.81 316 1021.3  11.1  11.4 999.0 99.0 99.00
2008 01 01 13 00  93  9.3 11.5  2.56 13.79  7.63 317 1021.0  11.0  11.3 999.0 99.0 99.00
2008 01 01 14 00  86  8.4 11.2  2.27 12.90  7.04 314 1021.7  10.8  11.3 999.0 99.0 99.00
2008 01 01 15 00  89  8.1  9.8  2.36 13.79  7.59 308 1022.2  11.1  11.3 999.0 99.0 99.00
2008 01 01 16 00  92  9.2 11.8  2.18 13.79  7.08 322 1022.1  11.3  11.3 999.0 99.0 99.00
2008 01 01 17 00  96  8.6 10.7  2.01 13.79  6.72 317 1022.4  11.7  11.3 999.0 99.0 99.00
2008 01 01 18 00  93  7.0  8.7  1.87 13.79  6.79 306 1023.0  11.8  11.3 999.0 99.0 99.00
2008 01 01 19 00  93  7.8  9.6  1.62 13.79  6.17 324 1022.5  11.8  11.3 999.0 99.0 99.00
2008 01 01 20 00  87  7.2  8.5  1.63 12.12  6.06 293 1021.7  12.3  11.4 999.0 99.0 99.00
2008 01 01 21 00  84  5.5  6.4  1.37 12.90  5.85 314 1021.0  12.7  11.4 999.0 99.0 99.00
2008 01 01 22 00  87  5.5  6.4  1.37 12.90  6.73 308 1020.2  13.3  11.4 999.0 99.0 99.00
2008 01 01 23 00  86  3.0  3.6  1.20  9.09  6.90 313 1019.8  14.1  11.5 999.0 99.0 99.00
2008 01 02 00 00  63  2.0  2.2  1.03 12.90  7.36 303 1019.6  14.2  11.5 999.0 99.0 99.00
2008 01 02 01 00  68  1.5  1.8  0.96 12.90  7.00 297 1019.2  13.9  11.5 999.0 99.0 99.00
2008 01 02 02 00  53  0.1  0.9  0.82 12.90  7.35 289 1019.1  13.8  11.5 999.0 99.0 99.00
2008 01 02 03 00  17  2.3  2.8  0.77 12.12  7.66 289 1019.0  12.2  11.4 999.0 99.0 99.00
2008 01 02 04 00 345  2.4  3.0  0.76 12.12  7.88 285 1019.2  12.6  11.4 999.0 99.0 99.00
2008 01 02 05 00  60  1.8  2.0  0.72 11.43  8.03 301 1019.1  12.1  11.4 999.0 99.0 99.00
2008 01 02 06 00  74  2.2  2.8  0.67 12.12  8.22 289 1019.6  12.6  11.4 999.0 99.0 99.00
2008 01 02 07 00 102  4.2  4.8  0.69 13.79  8.41 217 1019.4  12.5  11.4 999.0 99.0 99.00
2008 01 02 08 00 105  4.9  5.7  0.69 12.12  7.87 268 1019.4  11.9  11.4 999.0 99.0 99.00
2008 01 02 09 00 103  4.4  5.0  0.71 19.05  6.86 307 1019.1  11.4  11.4 999.0 99.0 99.00
2008 01 02 10 00 101  5.7  6.7  0.63 19.05  6.10 308 1019.0  11.4  11.4 999.0 99.0 99.00
2008 01 02 11 00  98  7.0  8.4  0.84 19.05  6.55 303 1018.5  10.9  11.4 999.0 99.0 99.00
2008 01 02 12 00 107  6.7  7.9  0.79 19.05  4.99 323 1018.3  10.9  11.4 999.0 99.0 99.00
2008 01 02 13 00 110  6.7  8.0  0.86 17.39  5.07 299 1018.3  10.7  11.4 999.0 99.0 99.00
2008 01 02 14 00 105  5.4  6.2  0.83 17.39  5.20 289 1018.2  10.7  11.4 999.0 99.0 99.00
2008 01 02 15 00 114  5.0  6.1  0.89 17.39  6.04 309 1018.2  10.8  11.3 999.0 99.0 99.00
2008 01 02 16 00 126  4.3  5.3  1.02 17.39  6.50 306 1018.2  11.0  11.3 999.0 99.0 99.00
2008 01 02 17 00 153  4.1  4.7  0.93 17.39  6.49 298 1018.4  11.2  11.2 999.0 99.0 99.00
2008 01 02 18 00 178  3.3  4.3  1.05 16.00  7.64 302 1019.2  11.4  11.2 999.0 99.0 99.00
2008 01 02 19 00 199  2.7  3.8  1.18 17.39  8.37 287 1019.5  11.5  11.2 999.0 99.0 99.00
2008 01 02 20 00 202  3.6  4.6  1.13 16.00  6.86 309 1018.7  11.4  11.3 999.0 99.0 99.00
2008 01 02 21 00 196  3.1  3.8  1.17 16.00  6.55 290 1018.0  11.4  11.3 999.0 99.0 99.00
2008 01 02 22 00 193  3.8  4.9  1.43 16.00  7.50 289 1017.3  11.5  11.3 999.0 99.0 99.00
2008 01 02 23 00 174  4.0  5.0  1.16 16.00  6.21 293 1016.9  11.6  11.3 999.0 99.0 99.00
2008 01 03 00 00 181  4.8  5.6  1.41 14.81  7.14 297 1016.7  11.6  11.3 999.0 99.0 99.00
2008 01 03 01 00 176  5.1  6.2  1.45 14.81  6.85 297 1016.6  11.4  11.2 999.0 99.0 99.00
2008 01 03 02 00 178  4.8  5.7  1.46 14.81  7.28 305 1016.4  11.5  11.2 999.0 99.0 99.00
2008 01 03 03 00 186  5.7  6.7  1.77 14.81  7.78 290 1016.4  11.6  11.2 999.0 99.0 99.00
2008 01 03 04 00 159  4.4  5.3  1.54 14.81  7.17 290 1016.3  11.6  11.1 999.0 99.0 99.00
2008 01 03 05 00 164  5.2  6.5  1.66 13.79  8.12 302 1016.2  11.7  11.1 999.0 99.0 99.00
2008 01 03 06 00 176  7.4  9.0 99.00 99.00 99.00 999 1016.3  12.2  11.0 999.0 99.0 99.00
2008 01 03 07 00 179  8.2  9.9  1.66 14.81  7.01 278 1016.3  12.0  11.0 999.0 99.0 99.00
2008 01 03 08 00 170  6.9  8.5  2.00 14.81  7.35 300 1016.6  11.9  11.0 999.0 99.0 99.00
2008 01 03 09 00 169  7.4  8.9  2.07 14.81  7.45 290 1016.2  12.0  11.0 999.0 99.0 99.00
2008 01 03 10 00 167  8.2  9.7  2.35 14.81  8.09 286 1015.9  12.1  11.0 999.0 99.0 99.00
2008 01 03 11 00 166  8.1  9.8  2.46 14.81  7.45 288 1015.4  12.0  11.0 999.0 99.0 99.00
2008 01 03 12 00 172  8.0  9.3  2.66 13.79  7.87 279 1015.1  12.1  11.0 999.0 99.0 99.00
2008 01 03 13 00 162  8.3 10.0  3.03 14.81  7.92 278 1014.4  12.1  11.0 999.0 99.0 99.00
2008 01 03 14 00 173  8.0  9.8  2.50 12.90  7.38 288 1014.8  12.3  11.2 999.0 99.0 99.00
2008 01 03 15 00 176  8.4 10.0  2.77 14.81  7.99 275 1015.2  12.2  11.3 999.0 99.0 99.00
2008 01 03 16 00 167  9.0 11.1  2.75 14.81  7.92 279 1014.9  12.2  11.3 999.0 99.0 99.00
2008 01 03 17 00 166  9.8 12.6  2.64 14.81  7.55 274 1015.1  12.2  11.4 999.0 99.0 99.00
2008 01 03 18 00 164 10.2 12.1  3.02 14.81  7.69 284 1015.2  12.3  11.4 999.0 99.0 99.00
2008 01 03 19 00 162 10.9 12.9  2.89 13.79  7.34 275 1015.2  12.4  11.4 999.0 99.0 99.00
2008 01 03 20 00 162 11.6 14.2 99.00 99.00 99.00 999 1014.5  12.3  11.4 999.0 99.0 99.00
2008 01 03 21 00 164 99.0 14.3  3.53 13.79  7.90 283 1013.8  12.3  11.4 999.0 99.0 99.00
2008 01 03 22 00 165 12.3 15.7  3.69 14.81  7.90 284 1012.9  12.0  11.4 999.0 99.0 99.00
