#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 333  8.8 10.5  2.18 13.79  6.50 313 1021.7  10.2  12.3 999.0 99.0 99.00
2009 01 01 00 50 329  9.7 12.2  2.23 12.90  6.26 313 1021.8  10.5  12.3 999.0 99.0 99.00
2009 01 01 01 50 329 10.3 13.2  2.10 13.79  6.12 315 1021.7  10.6  12.3 999.0 99.0 99.00
2009 01 01 02 50 334  9.9 11.5 99.00 99.00 99.00 999 1021.6  10.6  12.3 999.0 99.0 99.00
2009 01 01 03 50 340  9.3 10.9  1.86 12.90  5.78 314 1021.9  10.6  12.3 999.0 99.0 99.00
2009 01 01 04 50 342  8.2 10.3  1.91 12.90  6.00 313 1022.1  10.6  12.2 999.0 99.0 99.00
2009 01 01 05 50 342  9.5 11.2  1.68 13.79  5.54 313 1022.2  11.0  12.2 999.0 99.0 99.00
2009 01 01 06 50 348  8.2 10.0  1.80 11.43  5.87 317 1022.0  11.3  12.2 999.0 99.0 99.00
2009 01 01 07 50 338  7.9  9.8  1.69 12.90  5.75 322 1021.7  11.0  12.2 999.0 99.0 99.00
2009 01 01 08 50 345  7.9 10.0  1.89 12.12  6.15 322 1021.7  10.7  12.2 999.0 99.0 99.00
2009 01 01 09 50 337  7.8  9.8  1.88 12.90  6.45 311 1021.6  10.5  12.2 999.0 99.0 99.00
2009 01 01 10 50 331  8.3 10.0  1.97 11.43  6.24 314 1021.9  10.0  12.2 999.0 99.0 99.00
2009 01 01 11 50 344  6.3  8.0  2.00 11.43  6.70 317 1021.4  10.1  12.2 999.0 99.0 99.00
2009 01 01 12 50 351  6.3  7.9  1.95 11.43  6.63 317 1021.3  10.0  12.2 999.0 99.0 99.00
2009 01 01 13 50 346  6.6  8.2  2.11 11.43  6.60 312 1021.2  10.3  12.2 999.0 99.0 99.00
2009 01 01 14 50 347  6.6  9.7  2.20 10.81  6.91 311 1021.3   9.7  12.2 999.0 99.0 99.00
2009 01 01 15 50 345  6.9  8.3  2.20 12.12  6.63 304 1021.4   9.9  12.2 999.0 99.0 99.00
2009 01 01 16 50 346  7.4  9.1  2.11 12.12  6.29 304 1021.9   9.7  12.2 999.0 99.0 99.00
2009 01 01 17 50 356  7.4  8.9  2.31 10.00  6.52 311 1022.4   9.5  12.2 999.0 99.0 99.00
2009 01 01 18 50   2  5.8  7.2  2.17 11.43  6.54 309 1022.7   9.6  12.2 999.0 99.0 99.00
2009 01 01 19 50 343  6.3  7.8  2.11 10.81  6.68 313 1021.7   9.8  12.3 999.0 99.0 99.00
2009 01 01 20 50 353  6.2  7.9  2.12 11.43  6.96 311 1020.8  10.0  12.3 999.0 99.0 99.00
2009 01 01 21 50 338  6.1  7.3  2.15 10.00  6.81 316 1019.4   9.8  12.3 999.0 99.0 99.00
2009 01 01 22 50 334  7.4  9.0  2.17 12.12  6.78 313 1019.1  10.4  12.3 999.0 99.0 99.00
2009 01 01 23 50 331  7.6  9.4 99.00 99.00 99.00 999 1018.9  10.9  12.3 999.0 99.0 99.00
2009 01 02 00 50 324  7.7  9.2 99.00 99.00 99.00 999 1018.6  10.8  12.3 999.0 99.0 99.00
2009 01 02 01 50 329  8.4 10.0  2.25 10.81  6.50 315 1018.4  10.7  12.3 999.0 99.0 99.00
2009 01 02 02 50 331  8.0  9.4  2.17 11.43  6.64 318 1018.5  10.7  12.3 999.0 99.0 99.00
2009 01 02 03 50 331 10.7 12.7  2.11 10.81  6.22 316 1018.1  10.9  12.3 999.0 99.0 99.00
2009 01 02 04 50 341  9.1 11.0  1.97 10.81  5.81 316 1018.3  11.0  12.3 999.0 99.0 99.00
2009 01 02 05 50 342  8.7 10.0  1.93 10.81  5.96 314 1017.9  10.9  12.3 999.0 99.0 99.00
2009 01 02 06 50 346  7.6  9.2  1.86 11.43  6.03 324 1018.0  10.8  12.3 999.0 99.0 99.00
2009 01 02 07 50 335  7.0  8.2  1.70 11.43  6.02 321 1017.9  10.8  12.3 999.0 99.0 99.00
2009 01 02 08 50 337  6.7  8.3 99.00 99.00 99.00 999 1017.6  10.7  12.3 999.0 99.0 99.00
2009 01 02 09 50 346  5.4  6.7 99.00 99.00 99.00 999 1017.4  10.6  12.2 999.0 99.0 99.00
2009 01 02 10 50 336  6.7  8.0  1.77 10.81  6.89 306 1018.0  10.7  12.3 999.0 99.0 99.00
2009 01 02 11 50 328  5.9  7.1  1.61 10.00  6.34 310 1017.7  10.9  12.3 999.0 99.0 99.00
2009 01 02 12 50   3  3.5  4.3  1.57 16.00  6.77 301 1017.0  10.9  12.2 999.0 99.0 99.00
2009 01 02 13 50  79  2.8  3.7  1.61 16.00  7.35 296 1016.4  10.8  12.2 999.0 99.0 99.00
2009 01 02 14 50 111  2.4  3.5  1.79 10.81  8.16 311 1016.4  11.1  12.2 999.0 99.0 99.00
2009 01 02 15 50 104  3.1  4.0  1.46 16.00  7.61 290 1016.4  10.8  12.2 999.0 99.0 99.00
2009 01 02 16 50 132  4.4  5.6  1.60 10.81  8.06 313 1015.9  11.0  12.2 999.0 99.0 99.00
2009 01 02 17 50 134  3.8  4.6  1.50 10.81  7.83 312 1016.1  10.8  12.3 999.0 99.0 99.00
2009 01 02 18 50 162  4.4  5.3  1.45 14.81  7.91 294 1015.7  11.3  12.3 999.0 99.0 99.00
2009 01 02 19 50 210  5.5  6.4  1.38 16.00  7.34 290 1014.7  11.9  12.3 999.0 99.0 99.00
2009 01 02 20 50 293  7.8  9.6  1.44 14.81  6.77 285 1013.8  12.4  12.3 999.0 99.0 99.00
2009 01 02 21 50 313  9.2 10.8  1.43 14.81  5.86 289 1013.2  12.3  12.3 999.0 99.0 99.00
2009 01 02 22 50 328 11.1 13.3  1.60 10.00  5.24 311 1013.7  11.4  12.3 999.0 99.0 99.00
2009 01 02 23 50 335 11.6 13.8  1.75 10.00  5.25 314 1014.1  11.4  12.3 999.0 99.0 99.00
2009 01 03 00 50 335 10.7 13.0  1.84 14.81  5.05 293 1014.6  11.3  12.2 999.0 99.0 99.00
2009 01 03 01 50 328 11.6 14.0 99.00 99.00 99.00 999 1014.8  11.1  12.2 999.0 99.0 99.00
2009 01 03 02 50 327 12.3 14.4  2.31  5.56  5.33 316 1015.1  10.8  12.2 999.0 99.0 99.00
2009 01 03 03 50 329 12.1 14.2  2.25  6.67  5.35 315 1015.4  10.7  12.2 999.0 99.0 99.00
2009 01 03 04 50 337 12.9 15.5  2.44 10.00  5.61 320 1015.5  10.7  12.2 999.0 99.0 99.00
2009 01 03 05 50 338 12.2 14.5  2.87  7.69  5.95 320 1015.8  10.6  12.2 999.0 99.0 99.00
2009 01 03 06 50 340 11.8 13.5  3.15  9.09  6.29 317 1016.1  10.5  12.2 999.0 99.0 99.00
2009 01 03 07 50 345 11.3 13.2  3.03  9.09  6.26 316 1016.1  10.3  12.2 999.0 99.0 99.00
2009 01 03 08 50 336 10.8 12.8  3.26  8.33  6.72 318 1015.8  10.2  12.2 999.0 99.0 99.00
2009 01 03 09 50 332 10.7 12.5  2.89 10.81  6.40 317 1016.3   9.9  12.2 999.0 99.0 99.00
2009 01 03 10 50 350  9.9 12.1  3.00 10.81  6.79 318 1016.3   9.9  12.2 999.0 99.0 99.00
2009 01 03 11 50 348 10.1 12.0  3.14 10.00  6.87 312 1016.4   9.6  12.2 999.0 99.0 99.00
2009 01 03 12 50 352  7.8  9.5  3.20 10.00  6.93 314 1016.4   9.3  12.2 999.0 99.0 99.00
2009 01 03 13 50 344  9.1 11.1  3.25 10.00  7.26 313 1016.4   9.7  12.1 999.0 99.0 99.00
2009 01 03 14 50 347  9.6 11.5  3.18 10.00  7.28 309 1016.6   9.5  12.1 999.0 99.0 99.00
2009 01 03 15 50 353  9.5 11.3  3.07 10.00  6.82 311 1017.3   9.4  12.1 999.0 99.0 99.00
2009 01 03 16 50 359  8.1  9.5  2.82 10.00  6.84 311 1017.9   9.2  12.1 999.0 99.0 99.00
2009 01 03 17 50 352  9.0 10.6  2.96 10.00  7.00 305 1018.5   9.4  12.1 999.0 99.0 99.00
2009 01 03 18 50 344  9.1 10.9  2.87 10.00  7.00 311 1018.7   9.7  12.1 999.0 99.0 99.00
2009 01 03 19 50 347  8.7 10.0  2.73 10.00  6.98 311 1018.3   9.7  12.1 999.0 99.0 99.00
2009 01 03 20 50 337  8.2  9.7  2.77 10.00  6.88 307 1017.5   9.6  12.1 999.0 99.0 99.00
2009 01 03 21 50 341  7.6  9.4  2.84 10.00  7.21 310 1017.0   9.7  12.1 999.0 99.0 99.00
2009 01 03 22 50 335  8.2  9.9  2.84 10.00  7.13 310 1016.9   9.7  12.1 999.0 99.0 99.00
2009 01 03 23 50 330  8.6 10.2  2.66  9.09  6.90 313 1017.2   9.8  12.1 999.0 99.0 99.00
2009 01 04 00 50 338  9.0 10.4  2.81 10.00  7.04 306 1017.3  10.0  12.1 999.0 99.0 99.00
2009 01 04 01 50 335  8.6 10.1  2.77 10.00  6.87 309 1017.5  10.1  12.1 999.0 99.0 99.00
2009 01 04 02 50 335  8.0  9.7  2.56  9.09  6.62 311 1018.0   9.8  12.0 999.0 99.0 99.00
2009 01 04 03 50 344  6.6  7.9  2.67 10.00  7.15 309 1018.3   9.9  12.0 999.0 99.0 99.00
2009 01 04 04 50 342  5.9  7.0  2.43 10.00  7.00 313 1018.6   9.9  12.1 999.0 99.0 99.00
2009 01 04 05 50 347  5.8  7.1  2.52 10.00  7.22 306 1018.7   9.8  12.1 999.0 99.0 99.00
2009 01 04 06 50 339  5.9  7.0  2.41 10.00  7.23 311 1018.8   9.7  12.1 999.0 99.0 99.00
2009 01 04 07 50 344  6.1  7.1  2.61  9.09  7.31 312 1019.0   9.7  12.0 999.0 99.0 99.00
2009 01 04 08 50   7  5.1  6.2  2.58 10.00  7.50 311 1018.7   9.5  12.0 999.0 99.0 99.00
2009 01 04 09 50  30  4.1  5.1  2.45 10.00  7.61 306 1018.6   9.1  12.0 999.0 99.0 99.00
2009 01 04 10 50  36  3.3  4.1  2.37  9.09  7.56 312 1019.1   9.2  11.9 999.0 99.0 99.00
2009 01 04 11 50 336  4.1  5.4  2.73 10.00  7.96 313 1019.1   9.5  11.9 999.0 99.0 99.00
2009 01 04 12 50 352  4.0  4.9  2.60  9.09  7.66 311 1019.1   9.5  11.9 999.0 99.0 99.00
2009 01 04 13 50 360  4.6  5.8  2.67 10.00  7.70 311 1019.4   9.2  11.9 999.0 99.0 99.00
2009 01 04 14 50 357  3.9  4.8  2.81 10.00  7.56 307 1020.1   9.2  11.9 999.0 99.0 99.00
2009 01 04 15 50  85  2.1  3.1  2.35  8.33  7.02 317 1020.9   8.9  11.9 999.0 99.0 99.00
2009 01 04 16 50  87  1.6  2.8  2.54  9.09  7.18 306 1022.0   8.6  11.9 999.0 99.0 99.00
2009 01 04 17 50  79  1.2  2.2  2.29  9.09  6.88 312 1022.7   9.1  12.0 999.0 99.0 99.00
2009 01 04 18 50  30  1.6  2.5  2.21  8.33  6.84 316 1023.0   9.3  12.0 999.0 99.0 99.00
2009 01 04 19 50  44  1.4  2.8  2.17  9.09  6.85 308 1022.4   9.2  12.1 999.0 99.0 99.00
2009 01 04 20 50 330  3.6  4.8  2.16  9.09  6.94 306 1021.7   9.6  12.2 999.0 99.0 99.00
2009 01 04 21 50 331  4.7  6.0  1.92 14.81  6.82 299 1021.6   9.8  12.2 999.0 99.0 99.00
2009 01 04 22 50 329  5.6  6.7  2.02  9.09  7.16 308 1021.5  10.1  12.1 999.0 99.0 99.00
2009 01 04 23 50 327  7.4  8.4  1.81 14.81  6.53 308 1021.9  10.3  12.0 999.0 99.0 99.00
2009 01 05 00 50 328  6.1  7.5  1.83  9.09  6.46 305 1021.7  10.1  12.0 999.0 99.0 99.00
2009 01 05 01 50 328  7.4  8.4  1.78  9.09  6.53 309 1022.7  10.1  12.0 999.0 99.0 99.00
2009 01 05 02 50 329  7.7  9.2  1.76 16.00  5.94 284 1023.1  10.0  11.9 999.0 99.0 99.00
2009 01 05 03 50 333  6.8  7.9  1.73  9.09  5.96 308 1023.3   9.9  11.9 999.0 99.0 99.00
2009 01 05 04 50 334  5.9  6.8  1.61 14.81  5.99 295 1023.4   9.8  11.9 999.0 99.0 99.00
2009 01 05 05 50 337  6.4  7.6  1.66 14.81  6.28 291 1024.2   9.9  11.9 999.0 99.0 99.00
2009 01 05 06 50 349  4.7  5.7  1.67 13.79  6.42 305 1024.4   9.9  11.9 999.0 99.0 99.00
2009 01 05 07 50 353  2.7  3.6  1.49 13.79  6.50 299 1023.6   9.7  11.9 999.0 99.0 99.00
2009 01 05 08 50   6  2.9  3.8  1.46 17.39  6.93 200 1023.8   9.6  11.9 999.0 99.0 99.00
2009 01 05 09 50 353  2.0  3.0  1.45 12.90  7.17 306 1024.0   9.6  11.9 999.0 99.0 99.00
2009 01 05 10 50  51  1.2  1.7  1.35 13.79  7.63 296 1023.4   9.5  11.9 999.0 99.0 99.00
2009 01 05 11 50  94  3.0  4.0  1.41  8.33  7.45 313 1023.4   9.3  11.9 999.0 99.0 99.00
2009 01 05 12 50  91  4.5  6.1  1.43 17.39  7.98 190 1023.2   9.1  11.9 999.0 99.0 99.00
2009 01 05 13 50  95  5.6  6.6  1.39 13.79  6.61 289 1023.2   9.2  11.9 999.0 99.0 99.00
2009 01 05 14 50 103  4.4  5.5  1.53 12.90  6.93 292 1023.0   9.3  11.9 999.0 99.0 99.00
2009 01 05 15 50 130  0.9  2.6  1.41 17.39  7.00 184 1023.4   9.0  11.9 999.0 99.0 99.00
2009 01 05 16 50 142  4.0  5.4  1.44 17.39  7.43 188 1022.9   9.1  11.9 999.0 99.0 99.00
2009 01 05 17 50 125  2.7  3.8  1.39 12.90  7.28 286 1023.8   8.3  11.9 999.0 99.0 99.00
2009 01 05 18 50 128  5.6  6.9  1.30 19.05  7.23 292 1023.3   8.4  11.9 999.0 99.0 99.00
2009 01 05 19 50 128  5.8  6.9  1.17 19.05  6.55 293 1022.5   8.4  11.9 999.0 99.0 99.00
2009 01 05 20 50 126  5.7  6.8  1.27 19.05  7.33 300 1021.7   8.7  11.9 999.0 99.0 99.00
2009 01 05 21 50 103  5.3  6.3  1.40 19.05  7.70 294 1021.1   8.9  11.9 999.0 99.0 99.00
2009 01 05 22 50  95  6.1  7.8  1.43 17.39  7.39 290 1021.2   8.2  11.9 999.0 99.0 99.00
2009 01 05 23 50 107  5.6  6.4  1.43 17.39  6.99 291 1021.0   8.7  11.9 999.0 99.0 99.00
2009 01 06 00 50  83  6.1  7.2  1.58 17.39  7.59 300 1021.7   9.1  11.9 999.0 99.0 99.00
2009 01 06 01 50  99  5.1  6.2  1.59 17.39  6.84 273 1021.8   9.4  11.9 999.0 99.0 99.00
